"0,0.170,-0.01,0.0000,0.00010,0.000"
"1,1.290,0.00,1.0565,1.05650,1.000"
"1,1.300,0.00,1.0665,1.06650,1.000"
"1,1.310,0.01,1.0765,1.07650,1.000"
"1,1.320,0.01,1.0867,1.08670,1.000"
"1,1.330,0.00,1.0965,1.09650,1.000"
"1,1.340,0.01,1.1065,1.10650,1.000"
"1,1.350,0.00,1.1166,1.11660,1.000"
"1,1.360,0.00,1.1267,1.12670,1.000"
"1,1.370,0.00,1.1366,1.13660,1.000"
"1,1.380,0.00,1.1466,1.14660,1.000"
"1,1.390,0.00,1.1566,1.15660,1.000"
"1,1.400,0.01,1.1667,1.16670,1.000"
"1,1.410,0.00,1.1766,1.17660,1.000"
"1,1.420,0.00,1.1866,1.18660,1.000"
"1,1.430,0.00,1.1966,1.19660,1.000"
"1,1.440,0.00,1.2068,1.20680,1.000"
"1,1.450,0.00,1.2166,1.21660,1.000"
"1,1.460,0.00,1.2266,1.22660,1.000"
"1,1.470,0.00,1.2366,1.23660,1.000"
"1,1.480,0.00,1.2468,1.24680,1.000"
"1,1.490,0.00,1.2566,1.25660,1.000"
"1,1.500,0.00,1.2666,1.26660,1.000"
"1,1.510,0.00,1.2767,1.27670,1.000"
"1,1.520,0.00,1.2867,1.28670,1.000"
"1,1.530,0.00,1.2967,1.29670,1.000"
"1,1.540,0.00,1.3065,1.30650,1.000"
"1,1.550,0.00,1.3166,1.31660,1.000"
"1,1.560,0.00,1.3267,1.32670,1.000"
"1,1.570,0.00,1.3366,1.33660,1.000"
"1,1.580,0.00,1.3466,1.34660,1.000"
"1,1.590,0.00,1.3566,1.35660,1.000"
"1,1.600,0.00,1.3667,1.36670,1.000"
"1,1.610,0.00,1.3767,1.37670,1.000"
"1,1.620,0.01,1.3865,1.38650,1.000"
"1,1.630,0.00,1.3967,1.39670,1.000"
"1,1.640,0.00,1.4067,1.40670,1.000"
"1,1.650,0.00,1.4167,1.41670,1.000"
"1,1.660,0.00,1.4265,1.42650,1.000"
"1,1.670,0.00,1.4367,1.43670,1.000"
"1,1.680,0.00,1.4466,1.44660,1.000"
"1,1.690,0.00,1.4567,1.45670,1.000"
"1,1.700,0.00,1.4665,1.46650,1.000"
"1,1.710,0.00,1.4767,1.47670,1.000"
"1,1.720,0.01,1.4867,1.48670,1.000"
"1,1.730,0.00,1.4966,1.49660,1.000"
"1,1.740,0.01,1.5066,1.50660,1.000"
"1,1.750,0.00,1.5167,1.51670,1.000"
"1,1.760,0.00,1.5268,1.52680,1.000"
"1,1.770,0.00,1.5368,1.53680,1.000"
"1,1.780,0.00,1.5466,1.54660,1.000"
"1,1.790,0.00,1.5568,1.55680,1.000"
"1,1.800,0.01,1.5668,1.56680,1.000"
"1,1.810,0.00,1.5769,1.57690,1.000"
"1,1.820,0.00,1.5867,1.58670,1.000"
"1,1.830,0.00,1.5969,1.59690,1.000"
"1,1.840,0.00,1.6069,1.60690,1.000"
"1,1.850,0.00,1.6169,1.61690,1.000"
"1,1.860,0.00,1.6268,1.62680,1.000"
"1,1.870,0.00,1.6368,1.63680,1.000"
"1,1.880,0.00,1.6469,1.64690,1.000"
"1,1.890,0.00,1.6569,1.65690,1.000"
"1,1.900,0.00,1.6667,1.66670,1.000"
"1,1.910,0.00,1.6769,1.67690,1.000"
"1,1.920,0.00,1.6868,1.68680,1.000"
"1,1.930,0.00,1.6969,1.69690,1.000"
"1,1.940,0.01,1.7066,1.70660,1.000"
"1,1.950,0.00,1.7168,1.71680,1.000"
"1,1.960,0.00,1.7267,1.72670,1.000"
"1,1.970,0.00,1.7368,1.73680,1.000"
"1,1.980,0.00,1.7465,1.74650,1.000"
"1,1.990,0.00,1.7565,1.75650,1.000"
"1,2.000,0.00,1.7666,1.76660,1.000"
"1,2.010,0.00,1.7765,1.77650,1.000"
"1,2.020,0.00,1.7864,1.78640,1.000"
"1,2.030,0.00,1.7964,1.79640,1.000"
"1,2.040,0.00,1.8066,1.80660,1.000"
"1,2.050,0.00,1.8165,1.81650,1.000"
"1,2.060,0.00,1.8264,1.82640,1.000"
"1,2.070,0.00,1.8365,1.83650,1.000"
"1,2.080,0.01,1.8465,1.84650,1.000"
"1,2.090,0.01,1.8566,1.85660,1.000"
"1,2.100,0.00,1.8664,1.86640,1.000"
"1,2.110,0.00,1.8765,1.87650,1.000"
"1,2.120,0.00,1.8867,1.88670,1.000"
"1,2.130,0.01,1.8965,1.89650,1.000"
"1,2.140,0.01,1.9065,1.90650,1.000"
"1,2.150,0.00,1.9166,1.91660,1.000"
"1,2.160,0.00,1.9266,1.92660,1.000"
"1,2.170,0.00,1.9367,1.93670,1.000"
"1,2.180,0.00,1.9465,1.94650,1.000"
"1,2.190,0.00,1.9567,1.95670,1.000"
"1,2.200,0.00,1.9666,1.96660,1.000"
"1,2.210,0.00,1.9768,1.97680,1.000"
"1,2.220,0.00,1.9866,1.98660,1.000"
"1,2.230,0.00,1.9967,1.99670,1.000"
"1,2.240,0.01,2.0067,2.00670,1.000"
"1,2.250,0.00,2.0168,2.01680,1.000"
"1,2.260,0.00,2.0266,2.02660,1.000"
"1,2.270,0.00,2.0367,2.03670,1.000"
"1,2.280,0.00,2.0467,2.04670,1.000"
"1,2.290,0.00,2.0568,2.05680,1.000"
"1,2.300,0.00,2.0665,2.06650,1.000"
"1,2.310,0.00,2.0767,2.07670,1.000"
"1,2.320,0.01,2.0867,2.08670,1.000"
"1,2.330,0.00,2.0967,2.09670,1.000"
"1,2.340,0.01,2.1065,2.10650,1.000"
"1,2.350,0.00,2.1166,2.11660,1.000"
"1,2.360,0.01,2.1267,2.12670,1.000"
"1,2.370,0.00,2.1366,2.13660,1.000"
"1,2.380,0.00,2.1465,2.14650,1.000"
"1,2.390,0.00,2.1567,2.15670,1.000"
"1,2.400,0.00,2.1666,2.16660,1.000"
"1,2.410,0.00,2.1767,2.17670,1.000"
"1,2.420,0.00,2.1864,2.18640,1.000"
"1,2.430,0.00,2.1967,2.19670,1.000"
"1,2.440,0.00,2.2067,2.20670,1.000"
"1,2.450,0.00,2.2167,2.21670,1.000"
"1,2.460,0.00,2.2265,2.22650,1.000"
"1,2.470,0.00,2.2367,2.23670,1.000"
"1,2.480,0.00,2.2467,2.24670,1.000"
"1,2.490,0.00,2.2567,2.25670,1.000"
"1,2.500,0.00,2.2665,2.26650,1.000"
"1,2.510,0.00,2.2767,2.27670,1.000"
"1,2.520,0.01,2.2867,2.28670,1.000"
"1,2.530,0.01,2.2966,2.29660,1.000"
"1,2.540,0.00,2.3065,2.30650,1.000"
"1,2.550,0.00,2.3166,2.31660,1.000"
"1,2.560,0.00,2.3267,2.32670,1.000"
"1,2.570,0.00,2.3367,2.33670,1.000"
"1,2.580,0.00,2.3466,2.34660,1.000"
"1,2.590,0.00,2.3566,2.35660,1.000"
"1,2.600,0.01,2.3668,2.36680,1.000"
"1,2.610,0.00,2.3766,2.37660,1.000"
"1,2.620,0.00,2.3865,2.38650,1.000"
"1,2.630,0.00,2.3967,2.39670,1.000"
"1,2.640,0.01,2.4067,2.40670,1.000"
"1,2.650,0.00,2.4167,2.41670,1.000"
"1,2.660,0.01,2.4266,2.42660,1.000"
"1,2.670,0.00,2.4366,2.43660,1.000"
"1,2.680,0.00,2.4468,2.44680,1.000"
"1,2.690,0.00,2.4566,2.45660,1.000"
"1,2.700,0.00,2.4666,2.46660,1.000"
"1,2.710,0.00,2.4767,2.47670,1.000"
"1,2.720,0.00,2.4867,2.48670,1.000"
"1,2.730,0.00,2.4966,2.49660,1.000"
"1,2.740,0.00,2.5065,2.50650,1.000"
"1,2.750,0.01,2.5167,2.51670,1.000"
"1,2.760,0.00,2.5267,2.52670,1.000"
"1,2.770,0.00,2.5367,2.53670,1.000"
"1,2.780,0.00,2.5465,2.54650,1.000"
"1,2.790,0.00,2.5567,2.55670,1.000"
"1,2.800,0.00,2.5666,2.56660,1.000"
"1,2.810,0.00,2.5767,2.57670,1.000"
"1,2.820,0.01,2.5865,2.58650,1.000"
"1,2.830,0.00,2.5966,2.59660,1.000"
"1,2.840,0.00,2.6067,2.60670,1.000"
"1,2.850,0.00,2.6166,2.61660,1.000"
"1,2.860,0.00,2.6266,2.62660,1.000"
"1,2.870,0.00,2.6366,2.63660,1.000"
"1,2.880,0.00,2.6467,2.64670,1.000"
"1,2.890,0.00,2.6566,2.65660,1.000"
"1,2.900,0.00,2.6666,2.66660,1.000"
"1,2.910,0.00,2.6766,2.67660,1.000"
"1,2.920,0.00,2.6868,2.68680,1.000"
"1,2.930,0.01,2.6966,2.69660,1.000"
"1,2.940,0.00,2.7066,2.70660,1.000"
"1,2.950,0.00,2.7167,2.71670,1.000"
"1,2.960,0.01,2.7268,2.72680,1.000"
"1,2.970,0.01,2.7367,2.73670,1.000"
"1,2.980,0.00,2.7467,2.74670,1.000"
"1,2.990,0.00,2.7567,2.75670,1.000"
"1,3.000,0.00,2.7669,2.76690,1.000"
"1,3.010,0.00,2.7767,2.77670,1.000"
"1,3.020,0.00,2.7867,2.78670,1.000"
"1,3.030,0.01,2.7968,2.79680,1.000"
"1,3.040,0.00,2.8068,2.80680,1.000"
"1,3.050,0.01,2.8169,2.81690,1.000"
"1,3.060,0.00,2.8266,2.82660,1.000"
"1,3.070,0.00,2.8367,2.83670,1.000"
"1,3.080,0.00,2.8469,2.84690,1.000"
"1,3.090,0.00,2.8568,2.85680,1.000"
"1,3.100,0.00,2.8668,2.86680,1.000"
"1,3.110,0.00,2.8767,2.87670,1.000"
"1,3.120,0.00,2.8869,2.88690,1.000"
"1,3.130,0.00,2.8968,2.89680,1.000"
"1,3.140,0.00,2.9067,2.90670,1.000"
"1,3.150,0.00,2.9168,2.91680,1.000"
"1,3.160,0.00,2.9268,2.92680,1.000"
"1,3.170,0.01,2.9368,2.93680,1.000"
"1,3.180,0.01,2.9466,2.94660,1.000"
"1,3.190,0.00,2.9567,2.95670,1.000"
"1,3.200,0.00,2.9667,2.96670,1.000"
"1,3.210,0.00,2.9768,2.97680,1.000"
"1,3.220,0.00,2.9866,2.98660,1.000"
"1,3.230,0.00,2.9967,2.99670,1.000"
"1,3.240,0.00,3.0067,3.00670,1.000"
"1,3.250,0.00,3.0168,3.01680,1.000"
"1,3.260,0.00,3.0266,3.02660,1.000"
"1,3.270,0.00,3.0366,3.03660,1.000"
"1,3.280,0.01,3.0468,3.04680,1.000"
"1,3.290,0.01,3.0567,3.05670,1.000"
"1,3.300,0.00,3.0666,3.06660,1.000"
"1,3.310,0.00,3.0766,3.07660,1.000"
"1,3.320,0.00,3.0868,3.08680,1.000"
"1,3.330,0.00,3.0966,3.09660,1.000"
"1,3.340,0.00,3.1066,3.10660,1.000"
"1,3.350,0.01,3.1167,3.11670,1.000"
"1,3.360,0.01,3.1266,3.12660,1.000"
"1,3.370,0.00,3.1368,3.13680,1.000"
"1,3.380,0.00,3.1466,3.14660,1.000"
"1,3.390,0.00,3.1568,3.15680,1.000"
"1,3.400,0.00,3.1667,3.16670,1.000"
"1,3.410,0.00,3.1768,3.17680,1.000"
"1,3.420,0.00,3.1866,3.18660,1.000"
"1,3.430,0.00,3.1968,3.19680,1.000"
"1,3.440,0.00,3.2067,3.20670,1.000"
"1,3.450,0.00,3.2169,3.21690,1.000"
"1,3.460,0.00,3.2266,3.22660,1.000"
"1,3.470,0.00,3.2368,3.23680,1.000"
"1,3.480,0.00,3.2467,3.24670,1.000"
"1,3.490,0.00,3.2568,3.25680,1.000"
"1,3.500,0.00,3.2666,3.26660,1.000"
"1,3.510,0.00,3.2766,3.27660,1.000"
"1,3.520,0.00,3.2868,3.28680,1.000"
"1,3.530,0.01,3.2967,3.29670,1.000"
"1,3.540,0.00,3.3066,3.30660,1.000"
"1,3.550,0.00,3.3166,3.31660,1.000"
"1,3.560,0.00,3.3267,3.32670,1.000"
"1,3.570,0.01,3.3368,3.33680,1.000"
"1,3.580,0.00,3.3466,3.34660,1.000"
"1,3.590,0.00,3.3567,3.35670,1.000"
"1,3.600,0.00,3.3668,3.36680,1.000"
"1,3.610,0.00,3.3766,3.37660,1.000"
"1,3.620,0.00,3.3867,3.38670,1.000"
"1,3.630,0.00,3.3966,3.39660,1.000"
"1,3.640,0.00,3.4068,3.40680,1.000"
"1,3.650,0.00,3.4167,3.41670,1.000"
"1,3.660,0.01,3.4267,3.42670,1.000"
"1,3.670,0.00,3.4367,3.43670,1.000"
"1,3.680,0.00,3.4468,3.44680,1.000"
"1,3.690,0.00,3.4568,3.45680,1.000"
"1,3.700,0.01,3.4666,3.46660,1.000"
"1,3.710,0.00,3.4767,3.47670,1.000"
"1,3.720,0.00,3.4869,3.48690,1.000"
"1,3.730,0.00,3.4968,3.49680,1.000"
"1,3.740,0.01,3.5068,3.50680,1.000"
"1,3.750,0.00,3.5167,3.51670,1.000"
"1,3.760,0.00,3.5270,3.52700,1.000"
"1,3.770,0.00,3.5368,3.53680,1.000"
"1,3.780,0.00,3.5468,3.54680,1.000"
"1,3.790,0.00,3.5567,3.55670,1.000"
"1,3.800,0.00,3.5668,3.56680,1.000"
"1,3.810,0.01,3.5769,3.57690,1.000"
"1,3.820,0.00,3.5866,3.58660,1.000"
"1,3.830,0.01,3.5967,3.59670,1.000"
"1,3.840,0.00,3.6068,3.60680,1.000"
"1,3.850,0.00,3.6168,3.61680,1.000"
"1,3.860,0.00,3.6266,3.62660,1.000"
"1,3.870,0.01,3.6368,3.63680,1.000"
"1,3.880,0.00,3.6467,3.64670,1.000"
"1,3.890,0.00,3.6568,3.65680,1.000"
"1,3.900,0.01,3.6665,3.66650,1.000"
"1,3.910,0.00,3.6767,3.67670,1.000"
"1,3.920,0.01,3.6867,3.68670,1.000"
"1,3.930,0.00,3.6968,3.69680,1.000"
"1,3.940,0.00,3.7066,3.70660,1.000"
"1,3.950,0.00,3.7167,3.71670,1.000"
"1,3.960,0.00,3.7268,3.72680,1.000"
"1,3.970,0.01,3.7368,3.73680,1.000"
"1,3.980,0.01,3.7466,3.74660,1.000"
"1,3.990,0.00,3.7568,3.75680,1.000"
"1,4.000,0.01,3.7668,3.76680,1.000"
"1,4.010,0.01,3.7768,3.77680,1.000"
"1,4.020,0.01,3.7867,3.78670,1.000"
"1,4.030,0.00,3.7968,3.79680,1.000"
"1,4.040,0.01,3.8068,3.80680,1.000"
"1,4.050,0.01,3.8169,3.81690,1.000"
"1,4.060,0.00,3.8267,3.82670,1.000"
"1,4.070,0.00,3.8368,3.83680,1.000"
"1,4.080,0.01,3.8468,3.84680,1.000"
"1,4.090,0.00,3.8568,3.85680,1.000"
"1,4.100,0.00,3.8667,3.86670,1.000"
"1,4.110,0.00,3.8768,3.87680,1.000"
"1,4.120,0.00,3.8868,3.88680,1.000"
"1,4.130,0.00,3.8969,3.89690,1.000"
"1,4.140,0.00,3.9066,3.90660,1.000"
"1,4.150,0.00,3.9168,3.91680,1.000"
"1,4.160,0.00,3.9268,3.92680,1.000"
"1,4.170,0.01,3.9369,3.93690,1.000"
"1,4.180,0.00,3.9467,3.94670,1.000"
"1,4.190,0.01,3.9567,3.95670,1.000"
"1,4.200,0.01,3.9669,3.96690,1.000"
"1,4.210,0.00,3.9768,3.97680,1.000"
"1,4.220,0.00,3.9867,3.98670,1.000"
"1,4.230,0.00,3.9968,3.99680,1.000"
"1,4.240,0.01,4.0069,4.00690,1.000"
"1,4.250,0.00,4.0169,4.01690,1.000"
"1,4.260,0.01,4.0267,4.02670,1.000"
"1,4.270,0.00,4.0368,4.03680,1.000"
"1,4.280,0.00,4.0469,4.04690,1.000"
"1,4.290,0.01,4.0568,4.05680,1.000"
"1,4.300,0.01,4.0667,4.06670,1.000"
"1,4.310,0.00,4.0768,4.07680,1.000"
"1,4.320,0.00,4.0869,4.08690,1.000"
"1,4.330,0.01,4.0969,4.09690,1.000"
"1,4.340,0.01,4.1067,4.10670,1.000"
"1,4.350,0.01,4.1168,4.11680,1.000"
"1,4.360,0.01,4.1268,4.12680,1.000"
"1,4.370,0.00,4.1369,4.13690,1.000"
"1,4.380,0.00,4.1467,4.14670,1.000"
"1,4.390,0.00,4.1568,4.15680,1.000"
"1,4.400,-0.01,4.1668,4.16680,1.000"
"1,4.410,0.00,4.1769,4.17690,1.000"
"1,4.420,0.00,4.1867,4.18670,1.000"
"1,4.430,0.00,4.1968,4.19680,1.000"
"1,4.440,0.00,4.2068,4.20680,1.000"
"1,4.450,0.00,4.2168,4.21680,1.000"
"1,4.460,0.00,4.2267,4.22670,1.000"
"1,4.470,0.00,4.2367,4.23670,1.000"
"1,4.480,0.00,4.2468,4.24680,1.000"
"1,4.490,0.00,4.2568,4.25680,1.000"
"1,4.500,0.00,4.2667,4.26670,1.000"
"1,4.510,0.00,4.2768,4.27680,1.000"
"1,4.520,0.00,4.2868,4.28680,1.000"
"1,4.530,0.01,4.2968,4.29680,1.000"
"1,4.540,0.00,4.3067,4.30670,1.000"
"1,4.550,0.00,4.3167,4.31670,1.000"
"1,4.560,0.01,4.3269,4.32690,1.000"
"1,4.570,0.00,4.3368,4.33680,1.000"
"1,4.580,0.00,4.3468,4.34680,1.000"
"1,4.590,0.00,4.3567,4.35670,1.000"
"1,4.600,0.00,4.3669,4.36690,1.000"
"1,4.610,0.01,4.3768,4.37680,1.000"
"1,4.620,0.00,4.3867,4.38670,1.000"
"1,4.630,0.00,4.3967,4.39670,1.000"
"1,4.640,0.00,4.4069,4.40690,1.000"
"1,4.650,0.00,4.4169,4.41690,1.000"
"1,4.660,0.00,4.4267,4.42670,1.000"
"1,4.670,0.01,4.4368,4.43680,1.000"
"1,4.680,0.01,4.4469,4.44690,1.000"
"1,4.690,0.00,4.4569,4.45690,1.000"
"1,4.700,0.01,4.4667,4.46670,1.000"
"1,4.710,0.00,4.4768,4.47680,1.000"
"1,4.720,0.00,4.4869,4.48690,1.000"
"1,4.730,0.00,4.4968,4.49680,1.000"
"1,4.740,0.00,4.5067,4.50670,1.000"
"1,4.750,0.01,4.5168,4.51680,1.000"
"1,4.760,0.00,4.5267,4.52670,1.000"
"1,4.770,0.01,4.5369,4.53690,1.000"
"1,4.780,0.01,4.5467,4.54670,1.000"
"1,4.790,0.00,4.5568,4.55680,1.000"
"1,4.800,0.00,4.5668,4.56680,1.000"
"1,4.810,0.01,4.5768,4.57680,1.000"
"1,4.820,0.00,4.5867,4.58670,1.000"
"1,4.830,0.00,4.5968,4.59680,1.000"
"1,4.840,0.00,4.6068,4.60680,1.000"
"1,4.850,0.00,4.6168,4.61680,1.000"
"1,4.860,0.00,4.6267,4.62670,1.000"
"1,4.870,0.01,4.6367,4.63670,1.000"
"1,4.880,0.00,4.6469,4.64690,1.000"
"1,4.890,0.00,4.6568,4.65680,1.000"
"1,4.900,0.01,4.6667,4.66670,1.000"
"1,4.910,0.00,4.6768,4.67680,1.000"
"1,4.920,0.01,4.6867,4.68670,1.000"
"1,4.930,0.00,4.6969,4.69690,1.000"
"1,4.940,0.01,4.7067,4.70670,1.000"
"1,4.950,0.01,4.7168,4.71680,1.000"
"1,4.960,0.00,4.7268,4.72680,1.000"
"1,4.970,0.01,4.7369,4.73690,1.000"
"1,4.980,0.00,4.7467,4.74670,1.000"
"1,4.990,0.00,4.7568,4.75680,1.000"
"1,5.000,0.01,4.7668,4.76680,1.000"
"1,5.010,0.00,4.7769,4.77690,1.000"
"1,5.020,0.00,4.7867,4.78670,1.000"
"1,5.030,0.00,4.7967,4.79670,1.000"
"1,5.040,0.00,4.8069,4.80690,1.000"
"1,5.050,0.01,4.8168,4.81680,1.000"
"1,5.060,0.00,4.8267,4.82670,1.000"
"1,5.070,0.01,4.8367,4.83670,1.000"
"1,5.080,0.00,4.8468,4.84680,1.000"
"1,5.090,0.00,4.8569,4.85690,1.000"
"1,5.100,0.00,4.8667,4.86670,1.000"
"1,5.110,0.01,4.8767,4.87670,1.000"
"1,5.120,0.01,4.8869,4.88690,1.000"
"1,5.130,0.01,4.8968,4.89680,1.000"
"1,5.140,0.00,4.9067,4.90670,1.000"
"1,5.150,0.01,4.9168,4.91680,1.000"
"1,5.160,0.00,4.9268,4.92680,1.000"
"1,5.170,0.01,4.9370,4.93700,1.000"
"1,5.180,0.01,4.9467,4.94670,1.000"
"1,5.190,0.00,4.9568,4.95680,1.000"
"1,5.200,0.00,4.9668,4.96680,1.000"
"1,5.210,0.01,4.9770,4.97700,1.000"
"1,5.220,0.00,4.9868,4.98680,1.000"
"1,5.230,0.00,4.9968,4.99680,1.000"
"1,5.240,0.01,5.0069,5.00690,1.000"
"1,5.250,0.01,5.0168,5.01680,1.000"
"1,5.260,0.00,5.0268,5.02680,1.000"
"1,5.270,0.00,5.0367,5.03670,1.000"
"1,5.280,0.01,5.0469,5.04690,1.000"
"1,5.290,0.01,5.0569,5.05690,1.000"
"1,5.300,0.01,5.0668,5.06680,1.000"
"1,5.310,0.00,5.0768,5.07680,1.000"
"1,5.320,0.00,5.0869,5.08690,1.000"
"1,5.330,0.00,5.0969,5.09690,1.000"
"1,5.340,0.00,5.1069,5.10690,1.000"
"1,5.350,0.00,5.1167,5.11670,1.000"
"1,5.360,0.00,5.1268,5.12680,1.000"
"1,5.370,0.01,5.1369,5.13690,1.000"
"1,5.380,0.00,5.1467,5.14670,1.000"
"1,5.390,0.01,5.1568,5.15680,1.000"
"1,5.400,0.00,5.1668,5.16680,1.000"
"1,5.410,0.01,5.1770,5.17700,1.000"
"1,5.420,0.00,5.1868,5.18680,1.000"
"1,5.430,0.01,5.1968,5.19680,1.000"
"1,5.440,0.00,5.2069,5.20690,1.000"
"1,5.450,0.00,5.2169,5.21690,1.000"
"1,5.460,0.00,5.2268,5.22680,1.000"
"1,5.470,0.00,5.2369,5.23690,1.000"
"1,5.480,0.00,5.2469,5.24690,1.000"
"1,5.490,0.01,5.2570,5.25700,1.000"
"1,5.500,0.00,5.2668,5.26680,1.000"
"1,5.510,0.00,5.2769,5.27690,1.000"
"1,5.520,0.00,5.2870,5.28700,1.000"
"1,5.530,0.00,5.2969,5.29690,1.000"
"1,5.540,0.01,5.3069,5.30690,1.000"
