%time,field0,field1
1561004656240686893,28782.0,6235632.0
1561004656267227888,28782.0,6235632.0
1561004656317430973,28784.0,6234608.0
1561004656367284059,28791.0,6235632.0
1561004656417618036,28795.0,6235120.0
1561004656467226982,28804.0,6236144.0
1561004656517478942,28798.0,6235632.0
1561004656567478895,28785.0,6236144.0
1561004656617258071,28774.0,6234608.0
1561004656643805027,28789.0,6235632.0
1561004656693897962,28774.0,6235120.0
1561004656744112968,28790.0,6236144.0
1561004656794146060,28796.0,6235120.0
1561004656844023942,28790.0,6236144.0
1561004656893743038,28798.0,6236144.0
1561004656944093942,28799.0,6234096.0
1561004656993782997,28797.0,6235120.0
1561004657043983936,28784.0,6236144.0
1561004657070432901,28797.0,6235120.0
1561004657120460987,28784.0,6235632.0
1561004657170475006,28775.0,6236656.0
1561004657220590114,28791.0,6236656.0
1561004657270498037,28783.0,6236656.0
1561004657320444107,28786.0,6235120.0
1561004657370510101,28787.0,6235632.0
1561004657420583963,28783.0,6235120.0
1561004657470396041,28791.0,6235120.0
1561004657520457029,28786.0,6235120.0
1561004657570470094,28773.0,6235120.0
1561004657620425939,28789.0,6235632.0
1561004657647160053,28789.0,6235632.0
1561004657720518112,28789.0,6236656.0
1561004657747208118,28790.0,6236144.0
1561004657797118902,28781.0,6235120.0
1561004657847234964,28792.0,6236656.0
1561004657897166013,28799.0,6236144.0
1561004657947103977,28790.0,6236144.0
1561004657997170925,28802.0,6235632.0
1561004658047328948,28784.0,6235632.0
1561004658073817014,28775.0,6236144.0
1561004658147152900,28782.0,6235632.0
1561004658197279930,28794.0,6236656.0
1561004658223845005,28790.0,6235120.0
1561004658273823022,28772.0,6236144.0
1561004658323842048,28785.0,6236144.0
1561004658373914003,28781.0,6236144.0
1561004658423813104,28800.0,6236656.0
1561004658473859071,28795.0,6235632.0
1561004658523833990,28794.0,6235632.0
1561004658573801040,28792.0,6236144.0
1561004658623826026,28791.0,6236144.0
1561004658673753023,28794.0,6235632.0
1561004658723917007,28788.0,6235632.0
1561004658750519037,28790.0,6235632.0
1561004658823827981,28784.0,6235632.0
1561004658873861074,28783.0,6236656.0
1561004658923835992,28791.0,6235120.0
1561004658950699090,28791.0,6235632.0
1561004659000833034,28800.0,6235632.0
1561004659050436973,28784.0,6235632.0
1561004659100557088,28796.0,6236656.0
1561004659150669097,28782.0,6235632.0
1561004659200628042,28785.0,6235632.0
1561004659250593900,28786.0,6236144.0
1561004659300576925,28778.0,6235120.0
1561004659350883007,28788.0,6235120.0
1561004659400906085,28777.0,6235120.0
1561004659451026916,28783.0,6235632.0
1561004659500528097,28791.0,6236144.0
1561004659527173995,28790.0,6236144.0
1561004659577192068,28795.0,6235120.0
1561004659627233028,28782.0,6235120.0
1561004659677248001,28783.0,6234608.0
1561004659750861883,28777.0,6235120.0
1561004659777487993,28791.0,6235632.0
1561004659827440977,28776.0,6235632.0
1561004659877247095,28773.0,6235120.0
1561004659950517892,28787.0,6236144.0
1561004660000536918,28784.0,6235632.0
1561004660050489902,28780.0,6235120.0
1561004660100816965,28789.0,6236144.0
1561004660151396036,28789.0,6236656.0
1561004660200932025,28782.0,6235632.0
1561004660250489950,28779.0,6236144.0
1561004660277419090,28793.0,6235120.0
1561004660350915908,28788.0,6236144.0
1561004660377474069,28788.0,6235632.0
1561004660427716016,28799.0,6235120.0
1561004660477354049,28796.0,6236144.0
1561004660527745008,28784.0,6235632.0
1561004660577733993,28775.0,6237168.0
1561004660627804040,28780.0,6235632.0
1561004660677750110,28765.0,6237168.0
1561004660727689027,28791.0,6235632.0
1561004660777731895,28783.0,6236656.0
1561004660803734064,28792.0,6235120.0
1561004660877279043,28784.0,6236144.0
1561004660927326917,28790.0,6236144.0
1561004660977611064,28781.0,6234096.0
1561004661027498006,28776.0,6237168.0
1561004661054195880,28776.0,6236144.0
1561004661127640962,28778.0,6235120.0
1561004661177575111,28780.0,6236144.0
1561004661227468013,28779.0,6235632.0
1561004661277518987,28788.0,6235120.0
1561004661303937911,28784.0,6235632.0
1561004661354063987,28791.0,6236144.0
1561004661404174089,28797.0,6235632.0
1561004661477700948,28783.0,6235632.0
1561004661527426004,28789.0,6235120.0
1561004661554277896,28785.0,6236144.0
1561004661627811908,28788.0,6236144.0
1561004661654056072,28784.0,6236144.0
1561004661703881025,28792.0,6235120.0
1561004661753999948,28784.0,6235120.0
1561004661780628919,28790.0,6234608.0
1561004661854211091,28775.0,6235632.0
1561004661904150009,28790.0,6235120.0
1561004661953993082,28791.0,6235120.0
1561004661980983018,28785.0,6235632.0
1561004662030811071,28783.0,6235632.0
1561004662103787899,28783.0,6235120.0
1561004662130578041,28792.0,6234608.0
1561004662180627107,28774.0,6235120.0
1561004662230767965,28769.0,6235632.0
1561004662280580997,28781.0,6235632.0
1561004662330543994,28783.0,6235120.0
1561004662380532026,28783.0,6234608.0
1561004662407077074,28772.0,6236144.0
1561004662457355976,28780.0,6236144.0
1561004662530519962,28780.0,6235632.0
1561004662557063102,28780.0,6235632.0
1561004662607225894,28784.0,6235632.0
1561004662657550096,28776.0,6235632.0
1561004662707528114,28792.0,6236144.0
1561004662757333040,28774.0,6237168.0
1561004662807585954,28781.0,6236144.0
1561004662857103109,28774.0,6235120.0
1561004662907223939,28786.0,6236144.0
1561004662957163095,28776.0,6235120.0
1561004663007231950,28782.0,6235120.0
1561004663057235956,28784.0,6235120.0
1561004663083959102,28780.0,6236656.0
1561004663133913040,28775.0,6236144.0
1561004663183907985,28784.0,6235120.0
1561004663234040975,28782.0,6236144.0
1561004663283823966,28783.0,6235632.0
1561004663333978891,28786.0,6235120.0
1561004663383939981,28787.0,6235120.0
1561004663433763980,28795.0,6235120.0
1561004663483937025,28782.0,6235632.0
1561004663510524034,28800.0,6235120.0
1561004663560497999,28788.0,6236144.0
1561004663610560894,28794.0,6235632.0
1561004663660546064,28793.0,6235120.0
1561004663710489988,28785.0,6236144.0
1561004663760462999,28791.0,6235120.0
1561004663810646057,28792.0,6235120.0
1561004663860579013,28786.0,6236144.0
1561004663910701036,28783.0,6234096.0
1561004663960661888,28800.0,6235120.0
1561004664010549068,28800.0,6235632.0
1561004664060592889,28790.0,6235632.0
1561004664110419034,28790.0,6235632.0
1561004664160590887,28796.0,6235632.0
1561004664210659027,28788.0,6235120.0
1561004664237112045,28788.0,6235632.0
1561004664287117004,28804.0,6235632.0
1561004664337168931,28792.0,6235632.0
1561004664387141942,28778.0,6235120.0
1561004664437341928,28791.0,6235632.0
1561004664487270116,28807.0,6235632.0
1561004664537204027,28783.0,6235632.0
1561004664587162017,28802.0,6235632.0
1561004664637484073,28795.0,6236144.0
1561004664687227964,28792.0,6236144.0
1561004664713928937,28789.0,6236144.0
1561004664787689924,28798.0,6235120.0
1561004664837615013,28785.0,6236144.0
1561004664887651920,28794.0,6236656.0
1561004664937787055,28785.0,6236656.0
1561004664987776994,28794.0,6235632.0
1561004665013753890,28792.0,6235632.0
1561004665063819885,28776.0,6236144.0
1561004665114264011,28788.0,6235632.0
1561004665140898942,28783.0,6235632.0
1561004665190629959,28782.0,6235632.0
1561004665264267921,28784.0,6235632.0
1561004665314161062,28779.0,6236144.0
1561004665340612888,28771.0,6235632.0
1561004665391060113,28779.0,6234608.0
1561004665464236974,28780.0,6235120.0
1561004665513958930,28799.0,6235632.0
1561004665564193964,28796.0,6234608.0
1561004665590815067,28794.0,6236144.0
1561004665640808105,28776.0,6235632.0
1561004665691145896,28782.0,6235632.0
1561004665741014957,28778.0,6235120.0
1561004665791155099,28790.0,6234608.0
1561004665864063024,28796.0,6234608.0
1561004665890825033,28784.0,6235632.0
1561004665964369058,28801.0,6235632.0
1561004666014456033,28784.0,6235632.0
1561004666064409017,28784.0,6235632.0
1561004666114423990,28782.0,6235632.0
1561004666164356946,28788.0,6235120.0
1561004666214354038,28784.0,6234608.0
1561004666263794898,28797.0,6236656.0
1561004666290338039,28778.0,6235632.0
1561004666340858936,28777.0,6235120.0
1561004666390994071,28786.0,6235120.0
1561004666441319942,28775.0,6234608.0
1561004666491179943,28789.0,6235120.0
1561004666540422916,28788.0,6235120.0
1561004666567082881,28793.0,6236144.0
1561004666617228984,28788.0,6236144.0
1561004666691065073,28793.0,6235632.0
1561004666741110086,28796.0,6235632.0
1561004666791165113,28785.0,6234608.0
1561004666817786931,28785.0,6235120.0
1561004666867609024,28778.0,6236144.0
1561004666940793037,28779.0,6235632.0
1561004666967386007,28794.0,6236144.0
1561004667017498016,28774.0,6234608.0
1561004667067186117,28779.0,6234608.0
1561004667117342948,28796.0,6237168.0
1561004667167747020,28796.0,6235632.0
1561004667217174053,28796.0,6235120.0
1561004667244165897,28787.0,6235120.0
1561004667294023990,28775.0,6235632.0
1561004667367607116,28772.0,6235632.0
1561004667393671989,28770.0,6236144.0
1561004667443926095,28798.0,6234608.0
1561004667493890047,28781.0,6235632.0
1561004667543809890,28800.0,6236144.0
1561004667594075918,28777.0,6235632.0
1561004667644396066,28791.0,6235120.0
1561004667670871019,28789.0,6235632.0
1561004667720659971,28779.0,6235632.0
1561004667794204950,28786.0,6236144.0
1561004667844120979,28798.0,6235632.0
1561004667893949985,28775.0,6235632.0
1561004667920397043,28786.0,6234608.0
1561004667970652103,28777.0,6235632.0
1561004668044023990,28798.0,6235120.0
1561004668070708036,28792.0,6235632.0
1561004668120728015,28793.0,6236144.0
1561004668170538902,28789.0,6235632.0
1561004668220721006,28787.0,6235632.0
1561004668270796060,28782.0,6236144.0
1561004668320485115,28792.0,6235632.0
1561004668370496034,28772.0,6233584.0
1561004668397232055,28783.0,6235120.0
1561004668447112083,28783.0,6235120.0
1561004668520592927,28777.0,6235120.0
1561004668547389984,28785.0,6235632.0
1561004668597136974,28777.0,6236144.0
1561004668647146940,28773.0,6235120.0
1561004668697475910,28794.0,6236144.0
1561004668747625112,28785.0,6235632.0
1561004668797539949,28777.0,6235632.0
1561004668847372055,28786.0,6235632.0
1561004668897303104,28768.0,6235120.0
1561004668947252988,28787.0,6235120.0
1561004668997298955,28781.0,6235632.0
1561004669047111988,28794.0,6236144.0
1561004669097321033,28775.0,6237168.0
1561004669123836040,28774.0,6237168.0
1561004669197381019,28774.0,6235632.0
1561004669223913908,28778.0,6235120.0
1561004669273901939,28786.0,6236144.0
1561004669324120998,28773.0,6235632.0
1561004669374351024,28782.0,6236144.0
1561004669424218893,28777.0,6236144.0
1561004669474414110,28782.0,6235632.0
1561004669524390935,28772.0,6235120.0
1561004669573796987,28783.0,6235632.0
1561004669624114990,28777.0,6235632.0
1561004669674164056,28775.0,6235632.0
1561004669724160909,28796.0,6235120.0
1561004669750859022,28796.0,6236656.0
1561004669824426889,28786.0,6236144.0
1561004669850637912,28780.0,6236144.0
1561004669900945901,28778.0,6235632.0
1561004669951080083,28773.0,6235632.0
1561004670001142978,28773.0,6235632.0
1561004670074484109,28784.0,6236656.0
1561004670124464035,28784.0,6236144.0
1561004670174463033,28777.0,6235632.0
1561004670224369049,28784.0,6236656.0
1561004670274341106,28792.0,6235632.0
1561004670323708057,28778.0,6235120.0
1561004670373928070,28775.0,6235632.0
1561004670400580883,28780.0,6236656.0
1561004670450474977,28778.0,6235632.0
1561004670500690937,28779.0,6235632.0
1561004670574348926,28799.0,6235632.0
1561004670624350070,28791.0,6234096.0
1561004670651139974,28778.0,6235632.0
1561004670747853994,28774.0,6235120.0
1561004670774389982,28774.0,6235632.0
1561004670824450969,28774.0,6235120.0
1561004670874202966,28780.0,6236144.0
1561004670923872947,28780.0,6236656.0
1561004670973825931,28786.0,6235632.0
1561004671000566959,28771.0,6235632.0
1561004671050620079,28776.0,6235632.0
1561004671100477933,28782.0,6236144.0
1561004671150501966,28788.0,6235120.0
1561004671200659990,28780.0,6236144.0
1561004671250668048,28767.0,6235120.0
1561004671300524950,28768.0,6236144.0
1561004671350980997,28780.0,6236144.0
1561004671400645017,28774.0,6235120.0
1561004671450638055,28776.0,6235632.0
1561004671500499010,28779.0,6235632.0
1561004671550709009,28786.0,6235632.0
1561004671600541114,28781.0,6237168.0
1561004671627192974,28799.0,6236144.0
1561004671677345037,28788.0,6235632.0
1561004671727196931,28780.0,6236144.0
1561004671777252912,28788.0,6235120.0
1561004671827312946,28788.0,6235120.0
1561004671877321004,28784.0,6236144.0
1561004671927284002,28783.0,6236144.0
1561004671977510929,28782.0,6236144.0
1561004672027391910,28779.0,6235632.0
1561004672077673912,28781.0,6236656.0
1561004672103807926,28789.0,6234608.0
1561004672177170991,28769.0,6235120.0
1561004672203852891,28769.0,6236144.0
1561004672277575016,28778.0,6235632.0
1561004672327018022,28794.0,6236656.0
1561004672353796005,28794.0,6235632.0
1561004672403999090,28784.0,6235120.0
1561004672477737903,28794.0,6236144.0
1561004672504390954,28791.0,6235632.0
1561004672554056882,28790.0,6235120.0
1561004672580638885,28789.0,6235120.0
1561004672630629062,28789.0,6235120.0
1561004672703990936,28784.0,6235120.0
1561004672754369020,28788.0,6235632.0
1561004672804445981,28778.0,6235632.0
1561004672854185104,28796.0,6234608.0
1561004672904287099,28776.0,6235632.0
1561004672930375099,28778.0,6235120.0
1561004672980648994,28782.0,6236144.0
1561004673030669927,28780.0,6235632.0
1561004673080780982,28793.0,6235632.0
1561004673130701065,28788.0,6236144.0
1561004673180672883,28784.0,6236144.0
1561004673230835914,28791.0,6235120.0
1561004673280780076,28784.0,6235120.0
1561004673330678939,28790.0,6234608.0
1561004673380718946,28783.0,6236144.0
1561004673430887937,28773.0,6235632.0
1561004673480772972,28786.0,6235632.0
1561004673507268905,28786.0,6235120.0
1561004673557188987,28774.0,6235632.0
1561004673607213973,28783.0,6235632.0
1561004673657236099,28784.0,6236144.0
1561004673707278966,28780.0,6234096.0
1561004673757193088,28788.0,6235120.0
1561004673807200908,28785.0,6235120.0
1561004673857537031,28782.0,6236656.0
1561004673883970975,28781.0,6235632.0
1561004673933976888,28785.0,6235120.0
1561004673983968019,28785.0,6237168.0
1561004674057512044,28799.0,6235632.0
1561004674107537984,28789.0,6235632.0
