time	IR (20)	baro(20)
5272316	14060	1563.82
5318628	14051	1563.82
5364936	14048	1563.69
5411244	14040	1563.82
5457560	14034	1563.82
5503876	14025	1563.82
5550196	14025	1563.95
5596516	14018	1563.82
5642844	14011	1563.95
5689164	14008	1563.95
5735472	14002	1564.08
5781784	13995	1564.22
5828092	13986	1564.22
5874424	13983	1564.22
5920736	13981	1564.22
5967044	13973	1564.22
6013344	13966	1564.22
6059656	13960	1564.22
6105968	13953	1564.35
6152288	13947	1564.35
6198596	13939	1564.35
6244904	13928	1564.35
6291220	13918	1564.35
6337532	13904	1564.48
6383840	13897	1564.22
6430156	13887	1564.35
6476468	13868	1564.35
6522820	13853	1564.35
6569136	13836	1564.48
6615440	13812	1564.48
6661752	13801	1564.35
6708068	13789	1564.35
6754376	13777	1564.48
6800680	13759	1564.48
6846992	13747	1564.48
6893316	13741	1564.61
6939628	13732	1564.35
6985936	13728	1564.48
7032236	13726	1564.35
7078552	13716	1564.61
7124864	13711	1564.48
7171180	13711	1564.48
7217480	13710	1564.48
7263788	13735	1564.48
7310108	13759	1564.48
7356420	13779	1564.61
7402728	13805	1564.48
7449044	13826	1564.61
7495372	13855	1564.61
7541700	13878	1564.48
7588016	13907	1564.61
7634316	13940	1564.61
7680636	13969	1564.61
7726948	14003	1564.61
7773260	14031	1564.48
7819580	14068	1564.74
7865900	14099	1564.74
7912220	14136	1564.61
7958532	14169	1564.61
8004860	14205	1564.61
8051160	14247	1564.74
8097484	14275	1564.61
8143824	14319	1564.74
8190136	14358	1564.74
8236448	14390	1564.74
8282764	14439	1564.61
8329076	14477	1564.87
8375388	14529	1564.74
8421704	14575	1564.74
8468016	14625	1564.87
8514332	14672	1564.87
8560640	14717	1565.4
8606936	14768	1566.58
8653240	14818	1568.28
8699544	14866	1570.52
8745852	14907	1573.01
8792172	14961	1576.16
8838468	15018	1579.44
8884768	15091	1583.25
8931084	15190	1586.92
8977400	15345	1591.12
9023704	15501	1595.85
9070008	15675	1600.57
9116328	15832	1605.82
9162644	15983	1611.99
9208964	16147	1618.16
9255276	16314	1624.85
9301616	16521	1631.68
9347928	16724	1638.63
9394244	16908	1645.85
9440544	17089	1652.94
9486856	17248	1660.29
9533180	17369	1668.03
9579496	17408	1676.57
9625796	17418	1685.23
9672080	17381	1694.55
9718400	17323	1703.87
9764712	17222	1713.84
9811020	17110	1723.55
9857320	17013	1733.66
9903632	16897	1744.42
9949956	16811	1755.05
9996272	16742	1766.34
42572	16629	1777.63
88868	16520	1789.18
135184	16415	1800.99
181496	16314	1812.8
227808	16241	1825.27
274108	16235	1837.87
320408	16197	1850.6
366724	16367	1863.86
413036	16829	1877.12
459328	17999	1891.03
505632	18979	1904.81
551940	19465	1919.12
598248	19788	1934.34
644568	20029	1949.57
690880	20275	1965.18
737184	20512	1981.59
783496	20997	1991.7
829812	21248	1962.56
876108	21315	1913.21
922400	21321	1876.98
968720	21287	1847.06
1015032	21270	1820.68
1061336	21261	1797.05
1107628	21266	1775.4
1153928	21282	1755.71
1200244	21269	1737.6
1246556	21282	1721.19
1292864	21244	1705.97
1339152	21231	1692.58
1385464	21209	1680.5
1431780	21193	1669.22
1478088	21176	1659.11
1524380	21144	1649.79
1570696	21098	1641.52
1617024	21031	1634.17
1663332	21030	1627.87
1709636	20993	1621.97
1755936	20940	1616.85
1802256	20793	1612.38
1848564	20644	1607.4
1894880	20376	1602.93
1941180	19935	1598.87
1987476	19652	1595.06
2033796	19399	1591.78
2080108	19022	1588.76
2126400	18654	1586
2172708	18294	1584.03
2219012	17894	1582.46
2265312	17490	1580.36
2311632	17110	1578
2357952	16823	1575.37
2404256	16587	1573.01
2450564	16379	1570.91
2496872	16207	1568.81
2543172	16025	1566.84
2589472	15833	1564.87
2635784	15625	1562.9
2682100	15415	1561.46
2728408	15255	1560.54
2774704	14807	1559.49
2821008	14442	1558.7
2867332	13910	1558.31
2913636	13573	1557.78
2959936	13371	1557.65
3006248	13241	1557.78
3052564	13173	1557.78
3098872	13108	1557.78
3145188	13052	1557.78
3191492	12997	1557.92
3237816	12952	1558.05
3284132	12907	1558.05
3330444	12869	1557.92
3376740	12828	1558.05
3423036	12799	1558.05
3469352	12759	1558.05
3515684	12733	1558.05
3562000	12704	1558.05
3608320	12674	1558.18
3654632	12646	1558.18
3700944	12609	1558.31
3747252	12588	1558.31
3793564	12561	1558.44
3839896	12538	1558.44
3886212	12506	1558.57
3932520	12481	1558.57
3978820	12457	1558.7
4025120	12432	1558.7
4071432	12407	1558.7
4117732	12387	1558.7
4164032	12357	1558.83
4210328	12335	1558.83
4256628	12316	1558.83
4302960	12297	1558.97
4349276	12270	1558.97
4395588	12250	1558.97
4441892	12229	1559.1
4488212	12227	1559.1
4534520	12240	1559.1
4580844	12247	1559.23
4627152	12250	1559.23
4673444	12246	1559.1
4719764	12253	1559.23
4766072	12255	1559.23
4812384	12257	1559.23
4858700	12257	1559.36
4905016	12257	1559.36
4951364	12257	1559.36
4997680	12267	1559.49
5044000	12257	1559.49
5090312	12264	1559.36
5136628	12259	1559.49
5182948	12263	1559.49
5229280	12262	1559.49
5275612	12268	1559.75
5321932	12266	1559.62
5368248	12263	1559.49
5414556	12261	1559.75
5460880	12277	1559.88
5507204	12277	1559.88
5553516	12270	1559.88
5599816	12271	1559.88
5646124	12278	1560.02
5692440	12278	1559.88
5738744	12276	1560.15
5785048	12280	1560.02
5831356	12278	1560.15
5877656	12284	1560.28
5923972	12280	1560.15
5970280	12284	1560.28
6016584	12279	1560.28
6062884	12281	1560.28
6109204	12276	1560.28
6155520	12286	1560.41
6201832	12283	1560.41
6248140	12285	1560.41
6294460	12285	1560.41
6340780	12285	1560.54
6387096	12286	1560.41
6433408	12294	1560.54
6479740	12284	1560.54
6526072	12289	1560.67
6572380	12286	1560.67
6618692	12291	1560.67
6664996	12292	1560.67
6711308	12294	1560.67
6757624	12290	1560.8
6803936	12293	1560.8
6850236	12290	1560.8
6896528	12300	1560.8
6942844	12298	1560.8
6989144	12297	1560.8
7035436	12299	1560.93
7081712	12294	1560.93
7128040	12298	1560.93
7174356	12307	1560.8
7220672	12303	1560.93
7266968	12303	1561.07
7313280	12303	1561.07
7359604	12303	1561.07
7405912	12301	1561.07
7452212	12303	1561.07
7498496	12309	1561.07
7544800	12307	1561.2
7591112	12311	1561.2
7637412	12311	1561.33
7683728	12305	1561.33
7730048	12301	1561.2
7776380	12305	1561.33
7822688	12306	1561.46
7868984	12306	1561.33
7915296	12307	1561.46
7961616	12300	1561.33
8007928	12310	1561.33
8054244	12315	1561.46
8100580	12302	1561.46
8146908	12308	1561.46
8193228	12314	1561.46
8239536	12314	1561.46
8285848	12315	1561.59
8332160	12315	1561.59
8378488	12310	1561.59
8424800	12313	1561.72
8471108	12313	1561.72
8517408	12311	1561.72
8563728	12314	1561.59
8610040	12321	1561.72
8656348	12315	1561.98
8702652	12322	1561.98
8748972	12349	1561.98
8795284	12377	1561.98
8841608	12392	1562.25
8887916	12423	1562.25
8934216	12447	1562.12
8980532	12474	1562.25
9026884	12497	1562.25
9073200	12533	1562.12
9119500	12564	1562.25
9165824	12590	1562.38
9212136	12623	1562.38
9258448	12658	1562.38
9304748	12683	1562.38
9351056	12716	1562.38
9397380	12758	1562.38
9443688	12783	1562.38
9489988	12815	1562.51
9536288	12851	1562.38
9582604	12891	1562.38
9628908	12920	1562.38
9675224	12960	1562.51
9721532	13005	1562.38
9767840	13046	1562.38
9814156	13091	1562.51
9860472	13134	1562.38
9906784	13179	1562.38
9953084	13223	1562.51
9999396	13259	1562.64
45720	13303	1563.03
92052	13350	1563.82
138368	13392	1565.4
184700	13440	1567.63
231008	13495	1569.86
277316	13555	1572.88
323632	13651	1576.03
369932	13753	1579.7
416256	14008	1583.51
462572	14481	1587.45
508864	14724	1592.04
555176	14885	1596.9
601488	15060	1602.28
647800	15216	1608.05
694100	15349	1614.35
740400	15520	1621.05
786708	15702	1627.74
833024	15916	1634.96
879328	16101	1642.18
925640	16286	1649.27
971940	16450	1656.62
1018256	16586	1664.23
1064564	16663	1672.37
1110876	16695	1681.03
1157196	16692	1689.95
1203512	16650	1699.53
1249824	16582	1709.12
1296136	16506	1719.09
1342448	16444	1728.93
1388768	16456	1739.57
1435088	16427	1750.33
1481416	16381	1761.22
1527732	16345	1772.25
1574052	16349	1783.53
1620368	16272	1795.08
1666684	16156	1806.63
1712992	16081	1818.97
1759284	16262	1831.05
1805588	16617	1843.52
1851904	16745	1856.38
1898204	17646	1869.5
1944520	18507	1883.02
1990808	19221	1896.41
2037108	19546	1910.45
2083432	19788	1924.63
2129740	20100	1939.59
2176044	20351	1955.6
2222348	20622	1972.01
2268672	20980	1988.81
2314972	21274	1978.18
2361280	21343	1930.93
2407596	21350	1890.37
2453916	21317	1857.69
2500232	21299	1830.13
2546548	21270	1805.19
2592872	21266	1782.62
2639196	21275	1762.01
2685520	21274	1743.24
2731820	21305	1725.78
2778124	21330	1710.17
2824440	21309	1696.25
2870776	21295	1683.39
2917088	21281	1671.45
2963400	21282	1660.95
3009708	21258	1651.1
3056028	21203	1642.18
3102340	21189	1634.3
3148644	21124	1627.61
3194940	21121	1621.44
3241232	21040	1616.32
3287556	20943	1611.33
3333868	20790	1606.87
3380172	20558	1602.41
3426476	20218	1598.34
3472792	19882	1594.4
3519104	19626	1590.99
3565416	19371	1587.97
3611712	19119	1585.22
3658016	18746	1582.59
3704332	18335	1581.02
3750644	17939	1579.05
3796944	17556	1576.95
3843232	17174	1574.45
3889540	16845	1571.96
3935856	16593	1569.73
3982164	16370	1567.5
4028468	16190	1565.79
4074772	15975	1564.22
4121092	15770	1562.25
4167400	15521	1560.67
4213708	15324	1559.49
4260000	15160	1558.31
4306312	14845	1557.65
4352632	14220	1557.26
4398948	13612	1556.6
4445284	13275	1556.34
4491608	13085	1556.21
4537912	12956	1556.34
4584240	12874	1556.21
4630552	12791	1556.34
4676864	12735	1556.34
4723192	12676	1556.21
4769504	12618	1556.47
4815816	12570	1556.47
4862128	12532	1556.6
4908444	12485	1556.6
4954752	12449	1556.6
5001056	12409	1556.6
5047344	12373	1556.87
5093636	12343	1556.73
5139964	12309	1556.73
5186276	12280	1556.73
5232596	12249	1556.73
5278916	12224	1556.87
5325236	12197	1557
5371560	12175	1557
5417864	12147	1557.13
5464164	12129	1557.13
5510476	12105	1557.26
5556800	12088	1557.26
5603116	12063	1557.26
5649428	12039	1557.39
5695748	12024	1557.39
5742076	12006	1557.39
5788388	11979	1557.39
5834700	11956	1557.52
5881016	11942	1557.52
5927336	11920	1557.65
5973656	11906	1557.52
6019988	11908	1557.65
6066316	11935	1557.78
6112636	11933	1557.65
6158956	11937	1557.92
6205264	11941	1557.78
6251564	11948	1557.92
6297872	11956	1557.92
6344196	11958	1557.92
6390508	11971	1557.92
6436824	11973	1558.05
6483132	11971	1558.05
6529444	11979	1558.05
6575752	11977	1558.05
