Loop Time (ms)	IR (16 bit)	Force (N)
256	11033	1544.31
72	11028	1544.31
64	11031	1544.31
63	11027	1544.44
65	11029	1544.18
63	11026	1544.31
65	11032	1544.18
80	11026	1544.18
64	11028	1544.31
63	11030	1544.31
65	11025	1544.31
63	11032	1544.31
64	11030	1544.31
64	11027	1544.31
65	11030	1544.31
63	11030	1544.18
65	11030	1544.31
64	11030	1544.31
63	11029	1544.18
81	11030	1544.44
63	11034	1544.18
64	11032	1544.18
64	11032	1544.31
64	11031	1544.18
64	11030	1544.31
64	11031	1544.31
63	11032	1544.31
64	11028	1544.31
65	11033	1544.31
64	11034	1544.31
63	11034	1544.31
80	11036	1544.31
65	11037	1544.31
63	11028	1544.31
64	11030	1544.31
65	11032	1544.31
63	11028	1544.31
65	11029	1544.44
63	11026	1544.18
64	11036	1544.31
64	11031	1544.31
65	11029	1544.31
63	11026	1544.31
80	11028	1544.44
64	11032	1544.18
64	11026	1544.31
64	11029	1544.31
64	11031	1544.18
64	11026	1544.31
65	11029	1544.31
63	11032	1544.18
63	11028	1544.31
65	11034	1544.31
64	11041	1544.31
64	11048	1544.31
80	11056	1544.31
64	11064	1544.31
63	11068	1544.18
65	11081	1544.18
64	11075	1544.31
64	11083	1544.31
64	11097	1544.31
63	11102	1544.31
64	11114	1544.18
64	11121	1544.18
64	11135	1544.44
64	11142	1544.31
81	11146	1544.31
64	11155	1544.31
63	11163	1544.31
64	11175	1544.31
64	11183	1544.31
64	11193	1544.31
64	11211	1544.31
65	11215	1544.31
64	11222	1544.31
63	11235	1544.18
64	11245	1544.31
64	11256	1544.18
80	11273	1544.31
64	11278	1544.31
63	11296	1544.31
65	11308	1544.31
64	11321	1544.31
64	11336	1544.31
64	11345	1544.31
63	11368	1544.31
65	11380	1544.18
63	11390	1544.31
64	11411	1544.18
65	11424	1544.31
79	11437	1544.31
65	11460	1544.18
63	11479	1544.31
64	11497	1544.18
65	11513	1544.18
64	11533	1544.31
63	11552	1544.31
64	11574	1544.31
64	11597	1544.31
64	11617	1544.18
64	11639	1544.18
64	11661	1544.31
80	11685	1544.31
64	11716	1544.18
64	11739	1544.18
64	11769	1544.18
64	11794	1544.31
64	11824	1544.31
64	11854	1544.31
64	11886	1544.18
63	11908	1544.31
65	11943	1544.31
63	11970	1544.31
64	12009	1544.31
80	12053	1544.18
65	12082	1544.18
63	12121	1544.31
64	12162	1544.31
65	12201	1544.31
64	12239	1544.31
64	12283	1544.18
63	12325	1544.31
64	12368	1544.31
65	12418	1544.31
63	12468	1544.18
64	12517	1544.44
80	12571	1544.18
64	12622	1544.31
65	12680	1544.31
63	12741	1544.31
64	12806	1544.18
64	12859	1544.31
64	12933	1544.31
64	13000	1544.31
64	13059	1544.44
63	13138	1544.69
64	13212	1544.82
65	13300	1545.08
79	13382	1545.59
65	13473	1545.97
64	13575	1546.61
64	13567	1546.35
63	13467	1545.84
65	13370	1545.59
64	13290	1545.08
63	13205	1544.69
65	13136	1544.57
64	13065	1544.44
64	12999	1544.31
63	12927	1544.31
81	12864	1544.31
63	12797	1544.31
65	12739	1544.18
63	12681	1544.31
65	12624	1544.18
64	12570	1544.31
63	12515	1544.31
65	12466	1544.31
63	12417	1544.31
63	12371	1544.18
65	12321	1544.31
65	12278	1544.31
79	12237	1544.18
64	12194	1544.18
64	12157	1544.18
63	12118	1544.31
64	12085	1544.31
65	12045	1544.31
64	12008	1544.31
63	11976	1544.31
65	11936	1544.31
64	11908	1544.31
64	11875	1544.18
63	11846	1544.31
81	11820	1544.31
64	11796	1544.31
63	11761	1544.31
64	11734	1544.31
64	11715	1544.31
65	11684	1544.31
63	11662	1544.18
64	11638	1544.31
65	11611	1544.18
63	11596	1544.31
64	11570	1544.31
64	11544	1544.31
80	11526	1544.18
64	11509	1544.18
64	11492	1544.18
64	11473	1544.18
64	11456	1544.31
64	11436	1544.31
64	11423	1544.31
64	11407	1544.18
64	11389	1544.18
64	11376	1544.31
63	11361	1544.18
65	11348	1544.18
79	11333	1544.31
65	11317	1544.31
63	11307	1544.31
65	11297	1544.31
64	11282	1544.31
64	11272	1544.31
64	11257	1544.31
64	11248	1544.18
63	11231	1544.31
65	11226	1544.31
63	11212	1544.31
64	11202	1544.31
65	11193	1544.31
79	11177	1544.18
64	11168	1544.18
64	11163	1544.18
64	11150	1544.18
64	11145	1544.31
64	11135	1544.18
64	11129	1544.31
64	11118	1544.18
63	11115	1544.31
66	11098	1544.18
64	11100	1544.31
63	11092	1544.18
80	11083	1544.31
64	11071	1544.18
63	11063	1544.31
66	11053	1544.31
63	11049	1544.18
63	11041	1544.31
64	11040	1544.31
65	11032	1544.18
63	11027	1544.18
65	11024	1544.31
63	11036	1544.18
65	11033	1544.31
79	11036	1544.31
64	11032	1544.18
65	11037	1544.31
65	11028	1544.31
62	11027	1544.18
65	11034	1544.31
63	11031	1544.31
65	11032	1544.31
63	11026	1544.18
64	11027	1544.18
64	11033	1544.31
64	11025	1544.31
80	11031	1544.31
65	11030	1544.18
63	11026	1544.31
64	11027	1544.18
64	11028	1544.31
64	11036	1544.18
64	11034	1544.31
64	11033	1544.18
64	11030	1544.18
64	11031	1544.18
63	11030	1544.18
65	11028	1544.31
80	11031	1544.31
64	11026	1544.31
64	11029	1544.31
64	11028	1544.31
64	11034	1544.18
64	11033	1544.31
73	11032	1544.31
55	11032	1544.31
64	11027	1544.18
64	11034	1544.18
63	11028	1544.31
64	11027	1544.31
81	11038	1544.31
69	11034	1544.31
58	11032	1544.18
64	11027	1544.18
64	11030	1544.18
64	11033	1544.31
64	11030	1544.18
63	11028	1544.31
65	11029	1544.18
64	11024	1544.31
64	11027	1544.18
64	11027	1544.31
80	11030	1544.18
64	11030	1544.31
64	11033	1544.18
63	11030	1544.18
65	11030	1544.18
63	11028	1544.31
64	11031	1544.31
64	11029	1544.31
64	11032	1544.18
64	11027	1544.18
65	11030	1544.18
64	11029	1544.18
79	11028	1544.18
73	11032	1544.31
55	11029	1544.31
64	11030	1544.18
65	11035	1544.31
63	11030	1544.18
65	11033	1544.31
64	11027	1544.31
63	11031	1544.18
65	11033	1544.31
63	11031	1544.18
64	11028	1544.18
80	11034	1544.18
64	11030	1544.31
64	11031	1544.18
64	11034	1544.18
64	11033	1544.31
64	11029	1544.31
64	11031	1544.18
64	11027	1544.31
64	11027	1544.18
64	11029	1544.31
64	11026	1544.31
64	11030	1544.31
80	11033	1544.31
64	11034	1544.31
64	11029	1544.31
64	11026	1544.18
64	11023	1544.44
64	11028	1544.31
63	11032	1544.18
64	11031	1544.18
64	11030	1544.18
65	11039	1544.31
63	11045	1544.18
64	11049	1544.31
80	11054	1544.31
64	11062	1544.31
64	11079	1544.18
65	11075	1544.18
63	11082	1544.18
64	11091	1544.18
64	11099	1544.18
64	11111	1544.31
65	11117	1544.18
63	11123	1544.18
64	11135	1544.31
64	11145	1544.18
80	11152	1544.31
64	11161	1544.18
63	11169	1544.31
65	11182	1544.31
63	11187	1544.31
65	11197	1544.18
64	11212	1544.18
64	11219	1544.18
64	11228	1544.18
63	11242	1544.31
64	11250	1544.18
65	11264	1544.31
80	11275	1544.18
64	11289	1544.31
64	11299	1544.31
64	11315	1544.31
63	11325	1544.18
64	11339	1544.31
65	11354	1544.31
63	11371	1544.31
64	11385	1544.31
