Loop Time (ms)	IR (16 bit)	Force (N)	Force (N)	Color	Speed (mm/s)	Spatial (mm)	Angle (deg)
253.000	0.000	0.000	50.000	0.000	1.000	3.000	0.000
3250.000	0.000	0.000	50.000	0.000	1.000	3.000	0.000
31.000	0.000	0.000	50.000	0.000	1.000	3.000	0.000
20.000	0.000	0.000	50.000	0.000	1.000	3.000	0.000
20.000	0.000	0.000	50.000	0.000	1.000	3.000	0.000
25.000	0.000	0.000	50.000	0.000	1.000	3.000	0.000
20.000	0.000	0.000	50.000	0.000	1.000	3.000	0.000
20.000	0.000	0.000	50.000	0.000	1.000	3.000	0.000
40.000	0.000	0.000	50.000	0.000	1.000	3.000	0.000
21.000	0.000	0.000	50.000	0.000	1.000	3.000	0.000
20.000	0.000	0.000	50.000	0.000	1.000	3.000	0.000
26.000	0.000	0.000	50.000	0.000	1.000	3.000	0.000
22.000	0.000	0.000	50.000	0.000	1.000	3.000	0.000
20.000	0.000	0.000	50.000	0.000	1.000	3.000	0.000
20.000	0.000	0.000	50.000	0.000	1.000	3.000	0.000
20.000	0.000	0.000	50.000	0.000	1.000	3.000	0.000
21.000	0.000	0.000	50.000	0.000	1.000	3.000	0.000
21.000	0.000	0.000	50.000	0.000	1.000	3.000	0.000
20.000	0.000	0.000	50.000	0.000	1.000	3.000	0.000
20.000	0.000	0.000	50.000	0.000	1.000	3.000	0.000
24.000	0.000	0.000	50.000	0.000	1.000	3.000	0.000
21.000	0.000	0.000	50.000	0.000	1.000	3.000	0.000
20.000	0.000	0.000	50.000	0.000	1.000	3.000	0.000
24.000	0.000	0.000	50.000	0.000	1.000	3.000	0.000
20.000	0.000	0.000	50.000	0.000	1.000	3.000	0.000
20.000	0.000	0.000	50.000	0.000	1.000	3.000	0.000
23.000	0.000	0.000	50.000	0.000	1.000	3.000	0.000
21.000	0.000	0.000	50.000	0.000	1.000	3.000	0.000
21.000	0.000	0.000	50.000	0.000	1.000	3.000	0.000
22.000	0.000	0.000	50.000	0.000	1.000	3.000	0.000
20.000	0.000	0.000	50.000	0.000	1.000	3.000	0.000
20.000	0.000	0.000	50.000	0.000	1.000	3.000	0.000
24.000	0.000	0.000	50.000	0.000	1.000	3.000	0.000
20.000	0.000	0.000	50.000	0.000	1.000	3.000	0.000
20.000	0.000	0.000	50.000	0.000	1.000	3.000	0.000
24.000	0.000	0.000	50.000	0.000	1.000	3.000	0.000
23.000	0.000	0.000	50.000	0.000	1.000	3.000	0.000
26.000	0.000	0.000	50.000	0.000	1.000	3.000	0.000
25.000	0.000	0.000	50.000	0.000	1.000	3.000	0.000
22.000	0.000	0.000	50.000	0.000	1.000	3.000	0.000
20.000	0.000	0.000	50.000	0.000	1.000	3.000	0.000
21.000	0.000	0.000	50.000	0.000	1.000	3.000	0.000
20.000	0.000	0.000	50.000	0.000	1.000	3.000	0.000
20.000	0.000	0.000	50.000	0.000	1.000	3.000	0.000
32.000	0.000	0.000	50.000	0.000	1.000	3.000	0.000
20.000	0.000	0.000	50.000	0.000	1.000	3.000	0.000
22.000	0.000	0.000	50.000	0.000	1.000	3.000	0.000
20.000	0.000	0.000	50.000	0.000	1.000	3.000	0.000
20.000	0.000	0.000	50.000	0.000	1.000	3.000	0.000
20.000	0.000	0.000	50.000	0.000	1.000	3.000	0.000
24.000	0.000	0.000	50.000	0.000	1.000	3.000	0.000
20.000	0.000	0.000	50.000	0.000	1.000	3.000	0.000
20.000	0.000	0.000	50.000	0.000	1.000	3.000	0.000
25.000	0.000	0.000	50.000	0.000	1.000	3.000	0.000
20.000	7883.000	1614.060	50.000	0.000	1.000	3.000	0.000
43.000	7879.000	1614.190	50.000	0.000	1.000	3.000	0.000
64.000	7881.000	1614.190	50.000	0.000	1.000	3.000	0.000
64.000	7882.000	1614.190	50.000	0.000	1.000	3.000	0.000
64.000	7877.000	1614.060	50.000	0.000	1.000	3.000	0.000
63.000	7883.000	1614.190	50.000	0.000	1.000	3.000	0.000
65.000	7884.000	1614.190	50.000	0.000	1.000	3.000	0.000
63.000	7886.000	1614.190	50.000	0.000	1.000	3.000	0.000
81.000	7881.000	1614.190	50.000	0.000	1.000	3.000	0.000
