Loop Time (ms)	IR (16 bit)	Force (N)	Force (N)	Color	Speed (mm/s)	Spatial (mm)	Angle (deg)
247.000	0.000	0.000	4.000	0.000	1.000	0.000	0.000
3234.000	0.000	0.000	4.000	0.000	1.000	0.000	0.000
49.000	0.000	0.000	4.000	0.000	1.000	0.000	0.000
20.000	0.000	0.000	4.000	0.000	1.000	0.000	0.000
20.000	0.000	0.000	4.000	0.000	1.000	0.000	0.000
24.000	0.000	0.000	4.000	0.000	1.000	0.000	0.000
20.000	0.000	0.000	4.000	0.000	1.000	0.000	0.000
21.000	0.000	0.000	4.000	0.000	1.000	0.000	0.000
23.000	0.000	0.000	4.000	0.000	1.000	0.000	0.000
20.000	0.000	0.000	4.000	0.000	1.000	0.000	0.000
21.000	0.000	0.000	4.000	0.000	1.000	0.000	0.000
23.000	0.000	0.000	4.000	0.000	1.000	0.000	0.000
20.000	0.000	0.000	4.000	0.000	1.000	0.000	0.000
20.000	0.000	0.000	4.000	0.000	1.000	0.000	0.000
39.000	0.000	0.000	4.000	0.000	1.000	0.000	0.000
21.000	0.000	0.000	4.000	0.000	1.000	0.000	0.000
21.000	0.000	0.000	4.000	0.000	1.000	0.000	0.000
22.000	0.000	0.000	4.000	0.000	1.000	0.000	0.000
22.000	0.000	0.000	4.000	0.000	1.000	0.000	0.000
20.000	0.000	0.000	4.000	0.000	1.000	0.000	0.000
22.000	0.000	0.000	4.000	0.000	1.000	0.000	0.000
20.000	0.000	0.000	4.000	0.000	1.000	0.000	0.000
20.000	0.000	0.000	4.000	0.000	1.000	0.000	0.000
24.000	0.000	0.000	4.000	0.000	1.000	0.000	0.000
20.000	0.000	0.000	4.000	0.000	1.000	0.000	0.000
20.000	0.000	0.000	4.000	0.000	1.000	0.000	0.000
24.000	0.000	0.000	4.000	0.000	1.000	0.000	0.000
20.000	0.000	0.000	4.000	0.000	1.000	0.000	0.000
21.000	0.000	0.000	4.000	0.000	1.000	0.000	0.000
23.000	0.000	0.000	4.000	0.000	1.000	0.000	0.000
21.000	0.000	0.000	4.000	0.000	1.000	0.000	0.000
20.000	0.000	0.000	4.000	0.000	1.000	0.000	0.000
23.000	0.000	0.000	4.000	0.000	1.000	0.000	0.000
21.000	0.000	0.000	4.000	0.000	1.000	0.000	0.000
21.000	0.000	0.000	4.000	0.000	1.000	0.000	0.000
21.000	0.000	0.000	4.000	0.000	1.000	0.000	0.000
21.000	0.000	0.000	4.000	0.000	1.000	0.000	0.000
20.000	0.000	0.000	4.000	0.000	1.000	0.000	0.000
23.000	0.000	0.000	4.000	0.000	1.000	0.000	0.000
20.000	0.000	0.000	4.000	0.000	1.000	0.000	0.000
20.000	0.000	0.000	4.000	0.000	1.000	0.000	0.000
25.000	0.000	0.000	4.000	0.000	1.000	0.000	0.000
21.000	0.000	0.000	4.000	0.000	1.000	0.000	0.000
20.000	0.000	0.000	4.000	0.000	1.000	0.000	0.000
23.000	0.000	0.000	4.000	0.000	1.000	0.000	0.000
20.000	0.000	0.000	4.000	0.000	1.000	0.000	0.000
26.000	0.000	0.000	4.000	0.000	1.000	0.000	0.000
33.000	0.000	0.000	4.000	0.000	1.000	0.000	0.000
20.000	7792.000	1570.350	4.000	0.000	1.000	0.000	0.000
44.000	7792.000	1570.480	4.000	0.000	1.000	0.000	0.000
64.000	7787.000	1570.480	4.000	0.000	1.000	0.000	0.000
64.000	7786.000	1570.480	4.000	0.000	1.000	0.000	0.000
63.000	7787.000	1570.480	4.000	0.000	1.000	0.000	0.000
65.000	7783.000	1570.480	4.000	0.000	1.000	0.000	0.000
63.000	7792.000	1570.480	4.000	0.000	1.000	0.000	0.000
65.000	7788.000	1570.480	4.000	0.000	1.000	0.000	0.000
64.000	7782.000	1570.480	4.000	0.000	1.000	0.000	0.000
63.000	7789.000	1570.480	4.000	0.000	1.000	0.000	0.000
64.000	7791.000	1570.350	4.000	0.000	1.000	0.000	0.000
64.000	7787.000	1570.480	4.000	0.000	1.000	0.000	0.000
81.000	7786.000	1570.610	4.000	0.000	1.000	0.000	0.000
64.000	7785.000	1570.350	4.000	0.000	1.000	0.000	0.000
63.000	7792.000	1570.480	4.000	0.000	1.000	0.000	0.000
64.000	7796.000	1570.480	4.000	0.000	1.000	0.000	0.000
64.000	7789.000	1570.480	4.000	0.000	1.000	0.000	0.000
64.000	7786.000	1570.480	4.000	0.000	1.000	0.000	0.000
64.000	7783.000	1570.480	4.000	0.000	1.000	0.000	0.000
63.000	7792.000	1570.480	4.000	0.000	1.000	0.000	0.000
64.000	7791.000	1570.480	4.000	0.000	1.000	0.000	0.000
64.000	7790.000	1570.480	4.000	0.000	1.000	0.000	0.000
65.000	7788.000	1570.610	4.000	0.000	1.000	0.000	0.000
80.000	7788.000	1570.480	4.000	0.000	1.000	0.000	0.000
63.000	7790.000	1570.480	4.000	0.000	1.000	0.000	0.000
64.000	7787.000	1570.480	4.000	0.000	1.000	0.000	0.000
64.000	7790.000	1570.480	4.000	0.000	1.000	0.000	0.000
65.000	7786.000	1570.610	4.000	0.000	1.000	0.000	0.000
64.000	7793.000	1570.350	4.000	0.000	1.000	0.000	0.000
63.000	7785.000	1570.480	4.000	0.000	1.000	0.000	0.000
64.000	7797.000	1570.350	4.000	0.000	1.000	0.000	0.000
64.000	7792.000	1570.350	4.000	0.000	1.000	0.000	0.000
64.000	7790.000	1570.350	4.000	0.000	1.000	0.000	0.000
64.000	7790.000	1570.480	4.000	0.000	1.000	0.000	0.000
63.000	7789.000	1570.480	4.000	0.000	1.000	0.000	0.000
81.000	7786.000	1570.610	4.000	0.000	1.000	0.000	0.000
64.000	7786.000	1570.480	4.000	0.000	1.000	0.000	0.000
63.000	7788.000	1570.350	4.000	0.000	1.000	0.000	0.000
64.000	7786.000	1570.480	4.000	0.000	1.000	0.000	0.000
64.000	7794.000	1570.480	4.000	0.000	1.000	0.000	0.000
