Loop Time (ms)	IR (16 bit)	Force (N)	Force (N)	Color	Speed (mm/s)	Spatial (mm)	Angle (deg)
255.000	6650.000	1570.740	70.000	0.000	1.000	0.000	0.000
3281.000	6645.000	1570.860	70.000	0.000	1.000	0.000	0.000
65.000	6642.000	1570.860	70.000	0.000	1.000	0.000	0.000
80.000	6642.000	1570.860	70.000	0.000	1.000	0.000	0.000
63.000	6643.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6648.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6643.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6643.000	1570.740	70.000	0.000	1.000	0.000	0.000
64.000	6646.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6646.000	1570.990	70.000	0.000	1.000	0.000	0.000
64.000	6647.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6645.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6652.000	1570.860	70.000	0.000	1.000	0.000	0.000
63.000	6650.000	1570.860	70.000	0.000	1.000	0.000	0.000
80.000	6649.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6651.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6651.000	1570.740	70.000	0.000	1.000	0.000	0.000
64.000	6651.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6653.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6652.000	1570.990	70.000	0.000	1.000	0.000	0.000
64.000	6650.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6658.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6656.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6655.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6659.000	1570.860	70.000	0.000	1.000	0.000	0.000
63.000	6658.000	1570.990	70.000	0.000	1.000	0.000	0.000
81.000	6658.000	1570.860	70.000	0.000	1.000	0.000	0.000
63.000	6659.000	1570.990	70.000	0.000	1.000	0.000	0.000
65.000	6662.000	1570.740	70.000	0.000	1.000	0.000	0.000
63.000	6662.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6659.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6663.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6659.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6663.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6662.000	1570.740	70.000	0.000	1.000	0.000	0.000
63.000	6654.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6662.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6662.000	1570.860	70.000	0.000	1.000	0.000	0.000
81.000	6659.000	1570.860	70.000	0.000	1.000	0.000	0.000
63.000	6670.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6665.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6666.000	1570.860	70.000	0.000	1.000	0.000	0.000
65.000	6668.000	1570.860	70.000	0.000	1.000	0.000	0.000
63.000	6666.000	1570.860	70.000	0.000	1.000	0.000	0.000
65.000	6668.000	1570.860	70.000	0.000	1.000	0.000	0.000
63.000	6666.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6666.000	1570.740	70.000	0.000	1.000	0.000	0.000
63.000	6672.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6671.000	1570.740	70.000	0.000	1.000	0.000	0.000
81.000	6668.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6666.000	1570.740	70.000	0.000	1.000	0.000	0.000
64.000	6671.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6669.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6680.000	1570.860	70.000	0.000	1.000	0.000	0.000
63.000	6675.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6675.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6676.000	1570.740	70.000	0.000	1.000	0.000	0.000
64.000	6673.000	1570.740	70.000	0.000	1.000	0.000	0.000
64.000	6678.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6667.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6677.000	1570.860	70.000	0.000	1.000	0.000	0.000
80.000	6677.000	1570.860	70.000	0.000	1.000	0.000	0.000
63.000	6680.000	1570.860	70.000	0.000	1.000	0.000	0.000
65.000	6682.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6677.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6673.000	1570.860	70.000	0.000	1.000	0.000	0.000
63.000	6683.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6679.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6682.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6681.000	1570.990	70.000	0.000	1.000	0.000	0.000
64.000	6681.000	1570.990	70.000	0.000	1.000	0.000	0.000
64.000	6685.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6685.000	1570.860	70.000	0.000	1.000	0.000	0.000
80.000	6684.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6679.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6685.000	1570.860	70.000	0.000	1.000	0.000	0.000
63.000	6685.000	1570.860	70.000	0.000	1.000	0.000	0.000
65.000	6687.000	1570.990	70.000	0.000	1.000	0.000	0.000
63.000	6683.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6687.000	1570.740	70.000	0.000	1.000	0.000	0.000
65.000	6687.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6686.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6687.000	1570.860	70.000	0.000	1.000	0.000	0.000
63.000	6685.000	1570.860	70.000	0.000	1.000	0.000	0.000
80.000	6690.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6687.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6685.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6689.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6693.000	1570.740	70.000	0.000	1.000	0.000	0.000
63.000	6691.000	1570.740	70.000	0.000	1.000	0.000	0.000
65.000	6685.000	1570.860	70.000	0.000	1.000	0.000	0.000
63.000	6692.000	1570.860	70.000	0.000	1.000	0.000	0.000
65.000	6697.000	1570.860	70.000	0.000	1.000	0.000	0.000
63.000	6704.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6688.000	1570.740	70.000	0.000	1.000	0.000	0.000
65.000	6696.000	1570.860	70.000	0.000	1.000	0.000	0.000
79.000	6694.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6694.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6699.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6695.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6695.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6697.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6690.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6697.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6696.000	1570.860	70.000	0.000	1.000	0.000	0.000
63.000	6701.000	1570.740	70.000	0.000	1.000	0.000	0.000
65.000	6696.000	1570.860	70.000	0.000	1.000	0.000	0.000
63.000	6703.000	1570.990	70.000	0.000	1.000	0.000	0.000
80.000	6702.000	1570.990	70.000	0.000	1.000	0.000	0.000
64.000	6705.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6702.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6700.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6701.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6704.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6702.000	1570.860	70.000	0.000	1.000	0.000	0.000
63.000	6707.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6705.000	1570.860	70.000	0.000	1.000	0.000	0.000
65.000	6701.000	1570.740	70.000	0.000	1.000	0.000	0.000
64.000	6703.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6710.000	1570.860	70.000	0.000	1.000	0.000	0.000
79.000	6702.000	1570.860	70.000	0.000	1.000	0.000	0.000
65.000	6703.000	1570.860	70.000	0.000	1.000	0.000	0.000
63.000	6707.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6704.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6704.000	1570.990	70.000	0.000	1.000	0.000	0.000
64.000	6707.000	1570.860	70.000	0.000	1.000	0.000	0.000
63.000	6712.000	1570.740	70.000	0.000	1.000	0.000	0.000
64.000	6705.000	1570.860	70.000	0.000	1.000	0.000	0.000
65.000	6707.000	1570.990	70.000	0.000	1.000	0.000	0.000
64.000	6706.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6712.000	1570.860	70.000	0.000	1.000	0.000	0.000
79.000	6709.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6706.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6716.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6707.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6709.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6710.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6707.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6717.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6712.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6708.000	1570.860	70.000	0.000	1.000	0.000	0.000
63.000	6719.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6716.000	1570.860	70.000	0.000	1.000	0.000	0.000
80.000	6712.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6714.000	1570.860	70.000	0.000	1.000	0.000	0.000
65.000	6716.000	1570.860	70.000	0.000	1.000	0.000	0.000
63.000	6713.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6713.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6715.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6713.000	1570.860	70.000	0.000	1.000	0.000	0.000
65.000	6714.000	1570.860	70.000	0.000	1.000	0.000	0.000
63.000	6722.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6719.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6717.000	1570.740	70.000	0.000	1.000	0.000	0.000
64.000	6716.000	1570.990	70.000	0.000	1.000	0.000	0.000
80.000	6717.000	1570.990	70.000	0.000	1.000	0.000	0.000
64.000	6717.000	1570.860	70.000	0.000	1.000	0.000	0.000
63.000	6716.000	1570.740	70.000	0.000	1.000	0.000	0.000
64.000	6720.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6719.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6721.000	1570.990	70.000	0.000	1.000	0.000	0.000
64.000	6720.000	1570.740	70.000	0.000	1.000	0.000	0.000
64.000	6716.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6715.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6722.000	1570.860	70.000	0.000	1.000	0.000	0.000
63.000	6727.000	1570.860	70.000	0.000	1.000	0.000	0.000
81.000	6721.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6722.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6721.000	1570.740	70.000	0.000	1.000	0.000	0.000
64.000	6721.000	1570.860	70.000	0.000	1.000	0.000	0.000
63.000	6722.000	1570.860	70.000	0.000	1.000	0.000	0.000
65.000	6725.000	1570.860	70.000	0.000	1.000	0.000	0.000
63.000	6723.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6722.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6719.000	1570.860	70.000	0.000	1.000	0.000	0.000
65.000	6725.000	1570.860	70.000	0.000	1.000	0.000	0.000
63.000	6727.000	1570.740	70.000	0.000	1.000	0.000	0.000
64.000	6725.000	1570.860	70.000	0.000	1.000	0.000	0.000
80.000	6724.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6728.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6729.000	1570.990	70.000	0.000	1.000	0.000	0.000
63.000	6730.000	1570.860	70.000	0.000	1.000	0.000	0.000
65.000	6727.000	1570.860	70.000	0.000	1.000	0.000	0.000
63.000	6726.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6731.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6729.000	1570.860	70.000	0.000	1.000	0.000	0.000
65.000	6728.000	1570.860	70.000	0.000	1.000	0.000	0.000
63.000	6731.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6734.000	1570.860	70.000	0.000	1.000	0.000	0.000
65.000	6730.000	1570.860	70.000	0.000	1.000	0.000	0.000
79.000	6735.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6735.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6730.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6732.000	1570.860	70.000	0.000	1.000	0.000	0.000
63.000	6734.000	1570.860	70.000	0.000	1.000	0.000	0.000
65.000	6733.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6739.000	1570.860	70.000	0.000	1.000	0.000	0.000
63.000	6727.000	1570.860	70.000	0.000	1.000	0.000	0.000
65.000	6733.000	1570.860	70.000	0.000	1.000	0.000	0.000
63.000	6732.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6739.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6734.000	1570.860	70.000	0.000	1.000	0.000	0.000
80.000	6729.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6729.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6739.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6735.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6734.000	1570.860	70.000	0.000	1.000	0.000	0.000
65.000	6736.000	1570.860	70.000	0.000	1.000	0.000	0.000
63.000	6732.000	1570.740	70.000	0.000	1.000	0.000	0.000
64.000	6736.000	1570.860	70.000	0.000	1.000	0.000	0.000
63.000	6736.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6738.000	1570.990	70.000	0.000	1.000	0.000	0.000
64.000	6739.000	1570.860	70.000	0.000	1.000	0.000	0.000
81.000	6742.000	1570.990	70.000	0.000	1.000	0.000	0.000
64.000	6742.000	1570.860	70.000	0.000	1.000	0.000	0.000
63.000	6744.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6739.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6736.000	1570.990	70.000	0.000	1.000	0.000	0.000
63.000	6742.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6743.000	1570.860	70.000	0.000	1.000	0.000	0.000
65.000	6741.000	1570.860	70.000	0.000	1.000	0.000	0.000
63.000	6739.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6747.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6742.000	1570.740	70.000	0.000	1.000	0.000	0.000
65.000	6742.000	1570.740	70.000	0.000	1.000	0.000	0.000
79.000	6746.000	1570.740	70.000	0.000	1.000	0.000	0.000
64.000	6742.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6740.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6743.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6745.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6743.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6742.000	1570.990	70.000	0.000	1.000	0.000	0.000
64.000	6743.000	1570.740	70.000	0.000	1.000	0.000	0.000
64.000	6744.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6745.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6751.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6746.000	1570.860	70.000	0.000	1.000	0.000	0.000
80.000	6751.000	1570.740	70.000	0.000	1.000	0.000	0.000
64.000	6745.000	1570.860	70.000	0.000	1.000	0.000	0.000
63.000	6737.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6747.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6753.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6746.000	1570.990	70.000	0.000	1.000	0.000	0.000
64.000	6746.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6743.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6751.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6755.000	1570.860	70.000	0.000	1.000	0.000	0.000
63.000	6750.000	1570.860	70.000	0.000	1.000	0.000	0.000
81.000	6745.000	1570.740	70.000	0.000	1.000	0.000	0.000
63.000	6745.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6751.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6744.000	1570.740	70.000	0.000	1.000	0.000	0.000
65.000	6749.000	1570.860	70.000	0.000	1.000	0.000	0.000
63.000	6745.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6752.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6746.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6745.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6748.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6754.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6758.000	1570.860	70.000	0.000	1.000	0.000	0.000
80.000	6763.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6776.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6780.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6788.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6794.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6796.000	1570.860	70.000	0.000	1.000	0.000	0.000
63.000	6807.000	1570.740	70.000	0.000	1.000	0.000	0.000
64.000	6811.000	1570.740	70.000	0.000	1.000	0.000	0.000
64.000	6816.000	1570.740	70.000	0.000	1.000	0.000	0.000
64.000	6823.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6834.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6836.000	1570.860	70.000	0.000	1.000	0.000	0.000
80.000	6851.000	1570.860	70.000	0.000	1.000	0.000	0.000
63.000	6853.000	1570.990	70.000	0.000	1.000	0.000	0.000
64.000	6862.000	1570.860	70.000	0.000	1.000	0.000	0.000
64.000	6868.000	1570.860	70.000	0.000	1.000	0.000	0.000
65.000	6876.000	1570.860	70.000	0.000	1.000	0.000	0.000
63.000	6883.000	1570.860	70.000	0.000	1.000	0.000	0.000
