Loop Time (ms)	IR (16 bit)	Force (N)	Force (N)	Color	Speed (mm/s)	Spatial (mm)	Angle (deg)
255.000	7659.000	1569.210	20.000	0.000	4.000	0.000	0.000
3282.000	7655.000	1569.340	20.000	0.000	4.000	0.000	0.000
64.000	7659.000	1569.340	20.000	0.000	4.000	0.000	0.000
79.000	7653.000	1569.340	20.000	0.000	4.000	0.000	0.000
64.000	7660.000	1569.210	20.000	0.000	4.000	0.000	0.000
64.000	7662.000	1569.210	20.000	0.000	4.000	0.000	0.000
64.000	7652.000	1569.340	20.000	0.000	4.000	0.000	0.000
63.000	7659.000	1569.340	20.000	0.000	4.000	0.000	0.000
65.000	7651.000	1569.460	20.000	0.000	4.000	0.000	0.000
63.000	7655.000	1569.340	20.000	0.000	4.000	0.000	0.000
65.000	7653.000	1569.340	20.000	0.000	4.000	0.000	0.000
64.000	7658.000	1569.340	20.000	0.000	4.000	0.000	0.000
64.000	7653.000	1569.340	20.000	0.000	4.000	0.000	0.000
64.000	7656.000	1569.340	20.000	0.000	4.000	0.000	0.000
63.000	7658.000	1569.210	20.000	0.000	4.000	0.000	0.000
80.000	7655.000	1569.210	20.000	0.000	4.000	0.000	0.000
64.000	7654.000	1569.340	20.000	0.000	4.000	0.000	0.000
64.000	7654.000	1569.340	20.000	0.000	4.000	0.000	0.000
64.000	7651.000	1569.210	20.000	0.000	4.000	0.000	0.000
63.000	7657.000	1569.210	20.000	0.000	4.000	0.000	0.000
65.000	7657.000	1569.340	20.000	0.000	4.000	0.000	0.000
64.000	7649.000	1569.340	20.000	0.000	4.000	0.000	0.000
64.000	7652.000	1569.210	20.000	0.000	4.000	0.000	0.000
64.000	7650.000	1569.340	20.000	0.000	4.000	0.000	0.000
64.000	7656.000	1569.210	20.000	0.000	4.000	0.000	0.000
64.000	7651.000	1569.340	20.000	0.000	4.000	0.000	0.000
64.000	7654.000	1569.210	20.000	0.000	4.000	0.000	0.000
80.000	7658.000	1569.340	20.000	0.000	4.000	0.000	0.000
63.000	7656.000	1569.210	20.000	0.000	4.000	0.000	0.000
65.000	7649.000	1569.340	20.000	0.000	4.000	0.000	0.000
63.000	7653.000	1569.340	20.000	0.000	4.000	0.000	0.000
64.000	7653.000	1569.340	20.000	0.000	4.000	0.000	0.000
