Loop Time (ms)	IR (16 bit)	Force (N)	Force (N)	Color	Speed (mm/s)	Spatial (mm)	Angle (deg)
283.000	7935.000	1567.430	20.000	0.000	5.000	0.000	0.000
3283.000	7927.000	1567.300	20.000	0.000	5.000	0.000	0.000
63.000	7928.000	1567.430	20.000	0.000	5.000	0.000	0.000
65.000	7927.000	1567.430	20.000	0.000	5.000	0.000	0.000
79.000	7928.000	1567.550	20.000	0.000	5.000	0.000	0.000
64.000	7926.000	1567.550	20.000	0.000	5.000	0.000	0.000
64.000	7925.000	1567.430	20.000	0.000	5.000	0.000	0.000
64.000	7931.000	1567.430	20.000	0.000	5.000	0.000	0.000
64.000	7927.000	1567.430	20.000	0.000	5.000	0.000	0.000
64.000	7932.000	1567.550	20.000	0.000	5.000	0.000	0.000
64.000	7932.000	1567.550	20.000	0.000	5.000	0.000	0.000
63.000	7927.000	1567.430	20.000	0.000	5.000	0.000	0.000
64.000	7927.000	1567.550	20.000	0.000	5.000	0.000	0.000
64.000	7928.000	1567.550	20.000	0.000	5.000	0.000	0.000
64.000	7933.000	1567.550	20.000	0.000	5.000	0.000	0.000
80.000	7935.000	1567.430	20.000	0.000	5.000	0.000	0.000
64.000	7935.000	1567.550	20.000	0.000	5.000	0.000	0.000
64.000	7928.000	1567.430	20.000	0.000	5.000	0.000	0.000
64.000	7938.000	1567.430	20.000	0.000	5.000	0.000	0.000
63.000	7931.000	1567.550	20.000	0.000	5.000	0.000	0.000
64.000	7936.000	1567.430	20.000	0.000	5.000	0.000	0.000
65.000	7932.000	1567.430	20.000	0.000	5.000	0.000	0.000
64.000	7935.000	1567.430	20.000	0.000	5.000	0.000	0.000
64.000	7935.000	1567.430	20.000	0.000	5.000	0.000	0.000
63.000	7932.000	1567.550	20.000	0.000	5.000	0.000	0.000
64.000	7934.000	1567.430	20.000	0.000	5.000	0.000	0.000
64.000	7936.000	1567.430	20.000	0.000	5.000	0.000	0.000
80.000	7932.000	1567.430	20.000	0.000	5.000	0.000	0.000
64.000	7935.000	1567.430	20.000	0.000	5.000	0.000	0.000
64.000	7932.000	1567.550	20.000	0.000	5.000	0.000	0.000
64.000	7935.000	1567.550	20.000	0.000	5.000	0.000	0.000
64.000	7935.000	1567.430	20.000	0.000	5.000	0.000	0.000
64.000	7932.000	1567.550	20.000	0.000	5.000	0.000	0.000
64.000	7930.000	1567.550	20.000	0.000	5.000	0.000	0.000
63.000	7940.000	1567.430	20.000	0.000	5.000	0.000	0.000
65.000	7934.000	1567.550	20.000	0.000	5.000	0.000	0.000
64.000	7933.000	1567.550	20.000	0.000	5.000	0.000	0.000
63.000	7932.000	1567.430	20.000	0.000	5.000	0.000	0.000
65.000	7935.000	1567.430	20.000	0.000	5.000	0.000	0.000
79.000	7939.000	1567.550	20.000	0.000	5.000	0.000	0.000
64.000	7937.000	1567.550	20.000	0.000	5.000	0.000	0.000
64.000	7941.000	1567.430	20.000	0.000	5.000	0.000	0.000
64.000	7941.000	1567.430	20.000	0.000	5.000	0.000	0.000
64.000	7939.000	1567.550	20.000	0.000	5.000	0.000	0.000
64.000	7939.000	1567.430	20.000	0.000	5.000	0.000	0.000
64.000	7937.000	1567.550	20.000	0.000	5.000	0.000	0.000
63.000	7935.000	1567.430	20.000	0.000	5.000	0.000	0.000
65.000	7936.000	1567.550	20.000	0.000	5.000	0.000	0.000
63.000	7937.000	1567.550	20.000	0.000	5.000	0.000	0.000
64.000	7935.000	1567.430	20.000	0.000	5.000	0.000	0.000
80.000	7935.000	1567.430	20.000	0.000	5.000	0.000	0.000
64.000	7938.000	1567.430	20.000	0.000	5.000	0.000	0.000
64.000	7940.000	1567.430	20.000	0.000	5.000	0.000	0.000
64.000	7938.000	1567.430	20.000	0.000	5.000	0.000	0.000
64.000	7944.000	1567.430	20.000	0.000	5.000	0.000	0.000
64.000	7937.000	1567.550	20.000	0.000	5.000	0.000	0.000
64.000	7939.000	1567.430	20.000	0.000	5.000	0.000	0.000
64.000	7941.000	1567.430	20.000	0.000	5.000	0.000	0.000
64.000	7937.000	1567.550	20.000	0.000	5.000	0.000	0.000
64.000	7940.000	1567.430	20.000	0.000	5.000	0.000	0.000
64.000	7937.000	1567.430	20.000	0.000	5.000	0.000	0.000
64.000	7940.000	1567.550	20.000	0.000	5.000	0.000	0.000
80.000	7932.000	1567.430	20.000	0.000	5.000	0.000	0.000
63.000	7935.000	1567.430	20.000	0.000	5.000	0.000	0.000
64.000	7939.000	1567.430	20.000	0.000	5.000	0.000	0.000
64.000	7944.000	1567.430	20.000	0.000	5.000	0.000	0.000
64.000	7941.000	1567.430	20.000	0.000	5.000	0.000	0.000
64.000	7943.000	1567.430	20.000	0.000	5.000	0.000	0.000
63.000	7944.000	1567.550	20.000	0.000	5.000	0.000	0.000
65.000	7940.000	1567.550	20.000	0.000	5.000	0.000	0.000
64.000	7940.000	1567.300	20.000	0.000	5.000	0.000	0.000
64.000	7940.000	1567.300	20.000	0.000	5.000	0.000	0.000
63.000	7936.000	1567.550	20.000	0.000	5.000	0.000	0.000
65.000	7942.000	1567.430	20.000	0.000	5.000	0.000	0.000
79.000	7940.000	1567.430	20.000	0.000	5.000	0.000	0.000
64.000	7942.000	1567.430	20.000	0.000	5.000	0.000	0.000
64.000	7942.000	1567.550	20.000	0.000	5.000	0.000	0.000
64.000	7938.000	1567.430	20.000	0.000	5.000	0.000	0.000
64.000	7944.000	1567.430	20.000	0.000	5.000	0.000	0.000
63.000	7937.000	1567.550	20.000	0.000	5.000	0.000	0.000
65.000	7951.000	1567.430	20.000	0.000	5.000	0.000	0.000
64.000	7996.000	1567.430	20.000	0.000	5.000	0.000	0.000
64.000	8065.000	1567.430	20.000	0.000	5.000	0.000	0.000
63.000	8174.000	1567.430	20.000	0.000	5.000	0.000	0.000
65.000	8307.000	1567.430	20.000	0.000	5.000	0.000	0.000
80.000	8483.000	1567.430	20.000	0.000	5.000	0.000	0.000
63.000	8747.000	1567.680	20.000	0.000	5.000	0.000	0.000
64.000	9129.000	1567.810	20.000	0.000	5.000	0.000	0.000
65.000	9587.000	1568.440	20.000	0.000	5.000	0.000	0.000
64.000	9939.000	1569.080	20.000	0.000	5.000	0.000	0.000
64.000	9974.000	1570.100	20.000	0.000	5.000	0.000	0.000
66.000	10087.000	1571.120	20.000	0.000	5.000	0.000	0.000
61.000	10513.000	1572.520	20.000	0.000	5.000	0.000	0.000
64.000	11956.000	1574.050	20.000	0.000	5.000	0.000	0.000
63.000	13416.000	1575.070	20.000	0.000	5.000	0.000	0.000
65.000	13991.000	1575.960	20.000	0.000	5.000	0.000	0.000
64.000	13975.000	1575.830	20.000	0.000	5.000	0.000	0.000
80.000	13785.000	1574.430	20.000	0.000	5.000	0.000	0.000
64.000	13356.000	1572.520	20.000	0.000	5.000	0.000	0.000
64.000	12909.000	1570.860	20.000	0.000	5.000	0.000	0.000
63.000	12431.000	1569.590	20.000	0.000	5.000	0.000	0.000
65.000	12004.000	1568.700	20.000	0.000	5.000	0.000	0.000
63.000	11518.000	1568.190	20.000	0.000	5.000	0.000	0.000
65.000	10854.000	1567.810	20.000	0.000	5.000	0.000	0.000
64.000	8856.000	1567.550	20.000	0.000	5.000	0.000	0.000
63.000	8435.000	1567.550	20.000	0.000	5.000	0.000	0.000
64.000	8166.000	1567.430	20.000	0.000	5.000	0.000	0.000
64.000	7979.000	1567.430	20.000	0.000	5.000	0.000	0.000
64.000	7838.000	1567.550	20.000	0.000	5.000	0.000	0.000
80.000	7725.000	1567.550	20.000	0.000	5.000	0.000	0.000
63.000	7643.000	1567.430	20.000	0.000	5.000	0.000	0.000
64.000	7568.000	1567.550	20.000	0.000	5.000	0.000	0.000
64.000	7509.000	1567.430	20.000	0.000	5.000	0.000	0.000
64.000	7476.000	1567.550	20.000	0.000	5.000	0.000	0.000
65.000	7453.000	1567.550	20.000	0.000	5.000	0.000	0.000
64.000	7457.000	1567.550	20.000	0.000	5.000	0.000	0.000
63.000	7469.000	1567.430	20.000	0.000	5.000	0.000	0.000
64.000	7514.000	1567.550	20.000	0.000	5.000	0.000	0.000
64.000	7557.000	1567.550	20.000	0.000	5.000	0.000	0.000
64.000	7577.000	1567.680	20.000	0.000	5.000	0.000	0.000
80.000	7583.000	1567.550	20.000	0.000	5.000	0.000	0.000
64.000	7581.000	1567.550	20.000	0.000	5.000	0.000	0.000
64.000	7582.000	1567.550	20.000	0.000	5.000	0.000	0.000
64.000	7586.000	1567.550	20.000	0.000	5.000	0.000	0.000
63.000	7588.000	1567.550	20.000	0.000	5.000	0.000	0.000
65.000	7590.000	1567.680	20.000	0.000	5.000	0.000	0.000
63.000	7587.000	1567.550	20.000	0.000	5.000	0.000	0.000
64.000	7588.000	1567.430	20.000	0.000	5.000	0.000	0.000
65.000	7593.000	1567.550	20.000	0.000	5.000	0.000	0.000
64.000	7587.000	1567.550	20.000	0.000	5.000	0.000	0.000
63.000	7587.000	1567.550	20.000	0.000	5.000	0.000	0.000
64.000	7589.000	1567.550	20.000	0.000	5.000	0.000	0.000
80.000	7591.000	1567.430	20.000	0.000	5.000	0.000	0.000
64.000	7593.000	1567.430	20.000	0.000	5.000	0.000	0.000
63.000	7599.000	1567.430	20.000	0.000	5.000	0.000	0.000
65.000	7599.000	1567.550	20.000	0.000	5.000	0.000	0.000
64.000	7607.000	1567.550	20.000	0.000	5.000	0.000	0.000
64.000	7598.000	1567.550	20.000	0.000	5.000	0.000	0.000
63.000	7606.000	1567.430	20.000	0.000	5.000	0.000	0.000
65.000	7600.000	1567.430	20.000	0.000	5.000	0.000	0.000
63.000	7607.000	1567.550	20.000	0.000	5.000	0.000	0.000
65.000	7612.000	1567.430	20.000	0.000	5.000	0.000	0.000
64.000	7605.000	1567.430	20.000	0.000	5.000	0.000	0.000
63.000	7607.000	1567.550	20.000	0.000	5.000	0.000	0.000
80.000	7615.000	1567.550	20.000	0.000	5.000	0.000	0.000
64.000	7611.000	1567.550	20.000	0.000	5.000	0.000	0.000
64.000	7616.000	1567.550	20.000	0.000	5.000	0.000	0.000
64.000	7606.000	1567.430	20.000	0.000	5.000	0.000	0.000
63.000	7610.000	1567.550	20.000	0.000	5.000	0.000	0.000
65.000	7611.000	1567.550	20.000	0.000	5.000	0.000	0.000
64.000	7608.000	1567.430	20.000	0.000	5.000	0.000	0.000
64.000	7614.000	1567.430	20.000	0.000	5.000	0.000	0.000
63.000	7611.000	1567.430	20.000	0.000	5.000	0.000	0.000
64.000	7615.000	1567.550	20.000	0.000	5.000	0.000	0.000
65.000	7617.000	1567.430	20.000	0.000	5.000	0.000	0.000
79.000	7620.000	1567.550	20.000	0.000	5.000	0.000	0.000
64.000	7621.000	1567.430	20.000	0.000	5.000	0.000	0.000
64.000	7622.000	1567.550	20.000	0.000	5.000	0.000	0.000
64.000	7624.000	1567.550	20.000	0.000	5.000	0.000	0.000
64.000	7628.000	1567.550	20.000	0.000	5.000	0.000	0.000
63.000	7626.000	1567.550	20.000	0.000	5.000	0.000	0.000
64.000	7624.000	1567.550	20.000	0.000	5.000	0.000	0.000
64.000	7629.000	1567.550	20.000	0.000	5.000	0.000	0.000
65.000	7625.000	1567.430	20.000	0.000	5.000	0.000	0.000
64.000	7652.000	1567.430	20.000	0.000	5.000	0.000	0.000
64.000	7695.000	1567.430	20.000	0.000	5.000	0.000	0.000
64.000	7783.000	1567.550	20.000	0.000	5.000	0.000	0.000
80.000	7893.000	1567.550	20.000	0.000	5.000	0.000	0.000
64.000	8036.000	1567.430	20.000	0.000	5.000	0.000	0.000
63.000	8233.000	1567.550	20.000	0.000	5.000	0.000	0.000
65.000	8497.000	1567.680	20.000	0.000	5.000	0.000	0.000
63.000	8983.000	1567.930	20.000	0.000	5.000	0.000	0.000
64.000	9373.000	1568.440	20.000	0.000	5.000	0.000	0.000
64.000	9640.000	1569.460	20.000	0.000	5.000	0.000	0.000
64.000	9738.000	1570.350	20.000	0.000	5.000	0.000	0.000
63.000	9834.000	1571.750	20.000	0.000	5.000	0.000	0.000
64.000	10613.000	1573.160	20.000	0.000	5.000	0.000	0.000
65.000	12091.000	1574.430	20.000	0.000	5.000	0.000	0.000
63.000	13311.000	1575.450	20.000	0.000	5.000	0.000	0.000
80.000	13554.000	1575.700	20.000	0.000	5.000	0.000	0.000
64.000	13451.000	1575.070	20.000	0.000	5.000	0.000	0.000
64.000	13137.000	1573.410	20.000	0.000	5.000	0.000	0.000
65.000	12740.000	1571.630	20.000	0.000	5.000	0.000	0.000
63.000	12262.000	1570.230	20.000	0.000	5.000	0.000	0.000
64.000	11740.000	1569.080	20.000	0.000	5.000	0.000	0.000
64.000	11237.000	1568.440	20.000	0.000	5.000	0.000	0.000
64.000	10596.000	1567.930	20.000	0.000	5.000	0.000	0.000
64.000	9040.000	1567.810	20.000	0.000	5.000	0.000	0.000
64.000	8594.000	1567.550	20.000	0.000	5.000	0.000	0.000
64.000	8314.000	1567.550	20.000	0.000	5.000	0.000	0.000
63.000	8093.000	1567.550	20.000	0.000	5.000	0.000	0.000
81.000	7925.000	1567.550	20.000	0.000	5.000	0.000	0.000
63.000	7780.000	1567.550	20.000	0.000	5.000	0.000	0.000
64.000	7686.000	1567.550	20.000	0.000	5.000	0.000	0.000
65.000	7607.000	1567.550	20.000	0.000	5.000	0.000	0.000
63.000	7540.000	1567.550	20.000	0.000	5.000	0.000	0.000
65.000	7497.000	1567.550	20.000	0.000	5.000	0.000	0.000
63.000	7480.000	1567.680	20.000	0.000	5.000	0.000	0.000
64.000	7471.000	1567.550	20.000	0.000	5.000	0.000	0.000
64.000	7483.000	1567.550	20.000	0.000	5.000	0.000	0.000
64.000	7509.000	1567.680	20.000	0.000	5.000	0.000	0.000
64.000	7552.000	1567.550	20.000	0.000	5.000	0.000	0.000
80.000	7585.000	1567.680	20.000	0.000	5.000	0.000	0.000
64.000	7598.000	1567.550	20.000	0.000	5.000	0.000	0.000
63.000	7603.000	1567.550	20.000	0.000	5.000	0.000	0.000
65.000	7602.000	1567.680	20.000	0.000	5.000	0.000	0.000
63.000	7613.000	1567.680	20.000	0.000	5.000	0.000	0.000
65.000	7607.000	1567.550	20.000	0.000	5.000	0.000	0.000
63.000	7608.000	1567.680	20.000	0.000	5.000	0.000	0.000
64.000	7613.000	1567.550	20.000	0.000	5.000	0.000	0.000
64.000	7611.000	1567.550	20.000	0.000	5.000	0.000	0.000
64.000	7618.000	1567.430	20.000	0.000	5.000	0.000	0.000
64.000	7614.000	1567.680	20.000	0.000	5.000	0.000	0.000
64.000	7612.000	1567.550	20.000	0.000	5.000	0.000	0.000
79.000	7620.000	1567.550	20.000	0.000	5.000	0.000	0.000
65.000	7620.000	1567.550	20.000	0.000	5.000	0.000	0.000
64.000	7620.000	1567.550	20.000	0.000	5.000	0.000	0.000
63.000	7624.000	1567.680	20.000	0.000	5.000	0.000	0.000
65.000	7605.000	1567.550	20.000	0.000	5.000	0.000	0.000
63.000	7595.000	1567.550	20.000	0.000	5.000	0.000	0.000
65.000	7594.000	1567.680	20.000	0.000	5.000	0.000	0.000
64.000	7598.000	1567.680	20.000	0.000	5.000	0.000	0.000
63.000	7593.000	1567.550	20.000	0.000	5.000	0.000	0.000
64.000	7599.000	1567.550	20.000	0.000	5.000	0.000	0.000
64.000	7591.000	1567.550	20.000	0.000	5.000	0.000	0.000
64.000	7606.000	1567.430	20.000	0.000	5.000	0.000	0.000
81.000	7601.000	1567.680	20.000	0.000	5.000	0.000	0.000
62.000	7597.000	1567.550	20.000	0.000	5.000	0.000	0.000
64.000	7602.000	1567.550	20.000	0.000	5.000	0.000	0.000
65.000	7603.000	1567.550	20.000	0.000	5.000	0.000	0.000
64.000	7606.000	1567.550	20.000	0.000	5.000	0.000	0.000
63.000	7609.000	1567.680	20.000	0.000	5.000	0.000	0.000
64.000	7600.000	1567.550	20.000	0.000	5.000	0.000	0.000
64.000	7602.000	1567.680	20.000	0.000	5.000	0.000	0.000
65.000	7608.000	1567.550	20.000	0.000	5.000	0.000	0.000
63.000	7608.000	1567.680	20.000	0.000	5.000	0.000	0.000
64.000	7608.000	1567.550	20.000	0.000	5.000	0.000	0.000
80.000	7611.000	1567.550	20.000	0.000	5.000	0.000	0.000
64.000	7606.000	1567.680	20.000	0.000	5.000	0.000	0.000
63.000	7609.000	1567.550	20.000	0.000	5.000	0.000	0.000
65.000	7608.000	1567.550	20.000	0.000	5.000	0.000	0.000
64.000	7611.000	1567.550	20.000	0.000	5.000	0.000	0.000
64.000	7607.000	1567.550	20.000	0.000	5.000	0.000	0.000
64.000	7612.000	1567.550	20.000	0.000	5.000	0.000	0.000
63.000	7613.000	1567.550	20.000	0.000	5.000	0.000	0.000
65.000	7613.000	1567.680	20.000	0.000	5.000	0.000	0.000
64.000	7613.000	1567.550	20.000	0.000	5.000	0.000	0.000
63.000	7624.000	1567.550	20.000	0.000	5.000	0.000	0.000
64.000	7657.000	1567.550	20.000	0.000	5.000	0.000	0.000
81.000	7720.000	1567.680	20.000	0.000	5.000	0.000	0.000
63.000	7827.000	1567.550	20.000	0.000	5.000	0.000	0.000
64.000	7952.000	1567.680	20.000	0.000	5.000	0.000	0.000
64.000	8119.000	1567.550	20.000	0.000	5.000	0.000	0.000
64.000	8354.000	1567.680	20.000	0.000	5.000	0.000	0.000
64.000	8732.000	1567.930	20.000	0.000	5.000	0.000	0.000
64.000	9225.000	1568.320	20.000	0.000	5.000	0.000	0.000
63.000	9545.000	1569.080	20.000	0.000	5.000	0.000	0.000
65.000	9689.000	1569.970	20.000	0.000	5.000	0.000	0.000
63.000	9713.000	1571.120	20.000	0.000	5.000	0.000	0.000
64.000	10102.000	1572.520	20.000	0.000	5.000	0.000	0.000
64.000	11174.000	1573.920	20.000	0.000	5.000	0.000	0.000
80.000	12744.000	1575.070	20.000	0.000	5.000	0.000	0.000
64.000	13340.000	1575.830	20.000	0.000	5.000	0.000	0.000
64.000	13446.000	1575.580	20.000	0.000	5.000	0.000	0.000
64.000	13204.000	1574.430	20.000	0.000	5.000	0.000	0.000
64.000	12791.000	1572.650	20.000	0.000	5.000	0.000	0.000
64.000	12371.000	1570.860	20.000	0.000	5.000	0.000	0.000
63.000	11904.000	1569.720	20.000	0.000	5.000	0.000	0.000
65.000	11412.000	1568.700	20.000	0.000	5.000	0.000	0.000
64.000	10872.000	1568.190	20.000	0.000	5.000	0.000	0.000
64.000	9997.000	1567.930	20.000	0.000	5.000	0.000	0.000
64.000	8786.000	1567.550	20.000	0.000	5.000	0.000	0.000
79.000	8384.000	1567.550	20.000	0.000	5.000	0.000	0.000
65.000	8133.000	1567.550	20.000	0.000	5.000	0.000	0.000
63.000	7957.000	1567.550	20.000	0.000	5.000	0.000	0.000
64.000	7814.000	1567.550	20.000	0.000	5.000	0.000	0.000
64.000	7698.000	1567.550	20.000	0.000	5.000	0.000	0.000
64.000	7611.000	1567.680	20.000	0.000	5.000	0.000	0.000
64.000	7541.000	1567.550	20.000	0.000	5.000	0.000	0.000
64.000	7492.000	1567.550	20.000	0.000	5.000	0.000	0.000
63.000	7462.000	1567.550	20.000	0.000	5.000	0.000	0.000
64.000	7449.000	1567.680	20.000	0.000	5.000	0.000	0.000
64.000	7456.000	1567.550	20.000	0.000	5.000	0.000	0.000
65.000	7476.000	1567.550	20.000	0.000	5.000	0.000	0.000
79.000	7517.000	1567.550	20.000	0.000	5.000	0.000	0.000
65.000	7552.000	1567.550	20.000	0.000	5.000	0.000	0.000
63.000	7569.000	1567.550	20.000	0.000	5.000	0.000	0.000
64.000	7564.000	1567.550	20.000	0.000	5.000	0.000	0.000
64.000	7572.000	1567.550	20.000	0.000	5.000	0.000	0.000
64.000	7571.000	1567.550	20.000	0.000	5.000	0.000	0.000
64.000	7577.000	1567.680	20.000	0.000	5.000	0.000	0.000
64.000	7576.000	1567.680	20.000	0.000	5.000	0.000	0.000
63.000	7576.000	1567.680	20.000	0.000	5.000	0.000	0.000
64.000	7577.000	1567.550	20.000	0.000	5.000	0.000	0.000
64.000	7577.000	1567.680	20.000	0.000	5.000	0.000	0.000
65.000	7581.000	1567.680	20.000	0.000	5.000	0.000	0.000
79.000	7579.000	1567.680	20.000	0.000	5.000	0.000	0.000
64.000	7586.000	1567.550	20.000	0.000	5.000	0.000	0.000
64.000	7586.000	1567.680	20.000	0.000	5.000	0.000	0.000
64.000	7588.000	1567.550	20.000	0.000	5.000	0.000	0.000
64.000	7593.000	1567.550	20.000	0.000	5.000	0.000	0.000
63.000	7594.000	1567.680	20.000	0.000	5.000	0.000	0.000
65.000	7590.000	1567.680	20.000	0.000	5.000	0.000	0.000
64.000	7594.000	1567.550	20.000	0.000	5.000	0.000	0.000
64.000	7596.000	1567.680	20.000	0.000	5.000	0.000	0.000
64.000	7588.000	1567.680	20.000	0.000	5.000	0.000	0.000
64.000	7594.000	1567.550	20.000	0.000	5.000	0.000	0.000
80.000	7599.000	1567.680	20.000	0.000	5.000	0.000	0.000
64.000	7604.000	1567.550	20.000	0.000	5.000	0.000	0.000
63.000	7600.000	1567.550	20.000	0.000	5.000	0.000	0.000
65.000	7602.000	1567.680	20.000	0.000	5.000	0.000	0.000
63.000	7594.000	1567.680	20.000	0.000	5.000	0.000	0.000
64.000	7601.000	1567.680	20.000	0.000	5.000	0.000	0.000
