Loop Time (ms)	IR (16 bit)	Force (N)	Force (N)	Color	Speed (mm/s)	Spatial (mm)	Angle (deg)
248.000	6059.000	1577.610	20.000	0.000	7.000	0.000	0.000
3282.000	6058.000	1577.490	20.000	0.000	7.000	0.000	0.000
64.000	6054.000	1577.490	20.000	0.000	7.000	0.000	0.000
64.000	6058.000	1577.490	20.000	0.000	7.000	0.000	0.000
80.000	6058.000	1577.490	20.000	0.000	7.000	0.000	0.000
64.000	6058.000	1577.490	20.000	0.000	7.000	0.000	0.000
63.000	6063.000	1577.490	20.000	0.000	7.000	0.000	0.000
64.000	6055.000	1577.360	20.000	0.000	7.000	0.000	0.000
65.000	6056.000	1577.490	20.000	0.000	7.000	0.000	0.000
64.000	6055.000	1577.490	20.000	0.000	7.000	0.000	0.000
63.000	6057.000	1577.490	20.000	0.000	7.000	0.000	0.000
65.000	6051.000	1577.490	20.000	0.000	7.000	0.000	0.000
64.000	6057.000	1577.490	20.000	0.000	7.000	0.000	0.000
63.000	6060.000	1577.490	20.000	0.000	7.000	0.000	0.000
64.000	6054.000	1577.490	20.000	0.000	7.000	0.000	0.000
80.000	6065.000	1577.490	20.000	0.000	7.000	0.000	0.000
64.000	6058.000	1577.490	20.000	0.000	7.000	0.000	0.000
64.000	6062.000	1577.360	20.000	0.000	7.000	0.000	0.000
64.000	6058.000	1577.360	20.000	0.000	7.000	0.000	0.000
63.000	6058.000	1577.490	20.000	0.000	7.000	0.000	0.000
65.000	6062.000	1577.490	20.000	0.000	7.000	0.000	0.000
63.000	6061.000	1577.360	20.000	0.000	7.000	0.000	0.000
65.000	6053.000	1577.490	20.000	0.000	7.000	0.000	0.000
63.000	6061.000	1577.360	20.000	0.000	7.000	0.000	0.000
65.000	6064.000	1577.490	20.000	0.000	7.000	0.000	0.000
63.000	6065.000	1577.490	20.000	0.000	7.000	0.000	0.000
65.000	6059.000	1577.360	20.000	0.000	7.000	0.000	0.000
79.000	6063.000	1577.360	20.000	0.000	7.000	0.000	0.000
64.000	6061.000	1577.360	20.000	0.000	7.000	0.000	0.000
65.000	6056.000	1577.360	20.000	0.000	7.000	0.000	0.000
63.000	6058.000	1577.360	20.000	0.000	7.000	0.000	0.000
64.000	6053.000	1577.490	20.000	0.000	7.000	0.000	0.000
64.000	6061.000	1577.610	20.000	0.000	7.000	0.000	0.000
64.000	6057.000	1577.490	20.000	0.000	7.000	0.000	0.000
64.000	6058.000	1577.360	20.000	0.000	7.000	0.000	0.000
63.000	6057.000	1577.490	20.000	0.000	7.000	0.000	0.000
64.000	6060.000	1577.360	20.000	0.000	7.000	0.000	0.000
64.000	6063.000	1577.490	20.000	0.000	7.000	0.000	0.000
65.000	6060.000	1577.490	20.000	0.000	7.000	0.000	0.000
79.000	6052.000	1577.360	20.000	0.000	7.000	0.000	0.000
64.000	6059.000	1577.490	20.000	0.000	7.000	0.000	0.000
64.000	6063.000	1577.360	20.000	0.000	7.000	0.000	0.000
64.000	6060.000	1577.490	20.000	0.000	7.000	0.000	0.000
64.000	6061.000	1577.490	20.000	0.000	7.000	0.000	0.000
63.000	6056.000	1577.490	20.000	0.000	7.000	0.000	0.000
65.000	6065.000	1577.360	20.000	0.000	7.000	0.000	0.000
64.000	6069.000	1577.490	20.000	0.000	7.000	0.000	0.000
64.000	6063.000	1577.360	20.000	0.000	7.000	0.000	0.000
64.000	6060.000	1577.490	20.000	0.000	7.000	0.000	0.000
63.000	6055.000	1577.490	20.000	0.000	7.000	0.000	0.000
80.000	6058.000	1577.360	20.000	0.000	7.000	0.000	0.000
64.000	6064.000	1577.490	20.000	0.000	7.000	0.000	0.000
64.000	6063.000	1577.610	20.000	0.000	7.000	0.000	0.000
64.000	6058.000	1577.490	20.000	0.000	7.000	0.000	0.000
64.000	6070.000	1577.490	20.000	0.000	7.000	0.000	0.000
64.000	6061.000	1577.610	20.000	0.000	7.000	0.000	0.000
63.000	6058.000	1577.490	20.000	0.000	7.000	0.000	0.000
65.000	6058.000	1577.360	20.000	0.000	7.000	0.000	0.000
64.000	6063.000	1577.490	20.000	0.000	7.000	0.000	0.000
63.000	6064.000	1577.490	20.000	0.000	7.000	0.000	0.000
65.000	6065.000	1577.490	20.000	0.000	7.000	0.000	0.000
63.000	6062.000	1577.490	20.000	0.000	7.000	0.000	0.000
80.000	6061.000	1577.490	20.000	0.000	7.000	0.000	0.000
64.000	6066.000	1577.490	20.000	0.000	7.000	0.000	0.000
64.000	6068.000	1577.490	20.000	0.000	7.000	0.000	0.000
65.000	6065.000	1577.610	20.000	0.000	7.000	0.000	0.000
63.000	6063.000	1577.360	20.000	0.000	7.000	0.000	0.000
64.000	6069.000	1577.360	20.000	0.000	7.000	0.000	0.000
64.000	6056.000	1577.610	20.000	0.000	7.000	0.000	0.000
64.000	6061.000	1577.490	20.000	0.000	7.000	0.000	0.000
64.000	6073.000	1577.490	20.000	0.000	7.000	0.000	0.000
63.000	6067.000	1577.490	20.000	0.000	7.000	0.000	0.000
64.000	6065.000	1577.490	20.000	0.000	7.000	0.000	0.000
65.000	6060.000	1577.610	20.000	0.000	7.000	0.000	0.000
80.000	6055.000	1577.490	20.000	0.000	7.000	0.000	0.000
