Loop Time (ms)	IR (16 bit)	Force (N)
64	12830	1543.8
64	12679	1542.26
64	12544	1540.86
64	12434	1539.58
64	12334	1538.56
64	12253	1537.54
63	12170	1536.51
81	12094	1535.75
63	12029	1534.98
65	11966	1534.6
63	11915	1533.83
65	11858	1533.57
64	11815	1533.19
64	11768	1533.06
64	11720	1532.93
64	11674	1532.93
63	11625	1532.93
64	11574	1532.93
65	11527	1532.93
80	11485	1532.81
63	11448	1532.68
65	11405	1532.81
64	11362	1532.81
63	11324	1532.81
64	11292	1532.81
65	11251	1532.81
64	11220	1532.81
63	11186	1532.81
64	11148	1532.93
64	11122	1532.81
64	11084	1532.81
79	11053	1532.81
65	11020	1532.68
64	10992	1532.81
64	10972	1532.81
64	10944	1532.81
64	10915	1532.81
64	10888	1532.81
64	10861	1532.81
64	10841	1532.81
64	10815	1532.68
63	10792	1532.68
64	10763	1532.81
81	10746	1532.81
64	10724	1532.68
63	10705	1532.81
64	10684	1532.68
64	10669	1532.93
64	10649	1532.93
65	10628	1532.81
64	10613	1532.81
63	10596	1532.81
64	10579	1532.81
65	10560	1532.68
63	10548	1532.81
80	10528	1532.68
64	10519	1532.81
64	10505	1532.68
64	10491	1532.81
64	10476	1532.81
64	10463	1532.81
64	10449	1532.81
64	10441	1532.81
64	10444	1532.68
64	10448	1532.68
64	10447	1532.81
64	10448	1532.81
80	10451	1532.81
64	10451	1532.93
64	10453	1532.81
64	10450	1532.81
64	10451	1532.81
64	10447	1532.81
64	10452	1532.81
64	10452	1532.81
64	10450	1532.81
64	10452	1532.81
63	10447	1532.81
64	10451	1532.93
80	10451	1532.68
64	10453	1532.81
65	10451	1532.81
63	10451	1532.81
64	10450	1532.93
65	10452	1532.81
63	10453	1532.81
64	10455	1532.81
64	10451	1532.81
64	10452	1532.68
64	10452	1532.81
64	10455	1532.81
80	10455	1532.81
64	10451	1532.81
64	10453	1532.81
64	10455	1532.81
64	10456	1532.81
64	10457	1532.81
63	10450	1532.81
65	10454	1532.81
64	10453	1532.81
64	10456	1532.81
63	10458	1532.81
64	10459	1532.81
80	10453	1532.81
65	10458	1532.81
64	10454	1532.81
63	10453	1532.81
64	10453	1532.81
65	10456	1532.81
64	10455	1532.93
63	10454	1532.81
64	10457	1532.81
64	10455	1532.81
64	10455	1532.81
64	10460	1532.81
80	10463	1532.81
64	10456	1532.81
64	10457	1532.81
64	10454	1532.68
64	10456	1532.81
64	10459	1532.81
64	10454	1532.81
63	10460	1532.81
65	10458	1532.81
63	10457	1532.81
64	10460	1532.81
64	10462	1532.93
81	10456	1532.81
64	10460	1532.81
64	10456	1532.81
63	10458	1532.81
64	10461	1532.93
64	10462	1532.81
64	10460	1532.81
64	10459	1532.81
64	10458	1532.81
65	10459	1532.81
63	10458	1532.81
65	10462	1532.93
79	10460	1532.81
64	10462	1532.81
64	10459	1532.81
64	10461	1532.93
64	10459	1532.81
65	10461	1532.81
63	10456	1532.81
64	10458	1532.93
64	10459	1532.81
64	10458	1532.81
64	10464	1532.81
64	10460	1532.81
80	10464	1532.81
64	10459	1532.93
63	10465	1532.81
65	10455	1532.81
64	10457	1532.81
63	10457	1532.81
65	10465	1532.81
63	10470	1532.81
64	10479	1532.93
64	10497	1532.81
64	10510	1532.68
64	10526	1532.93
80	10541	1532.93
64	10552	1532.81
65	10572	1532.93
64	10589	1532.93
64	10606	1532.81
63	10623	1532.81
64	10640	1533.06
64	10659	1532.93
64	10676	1532.81
64	10691	1532.93
64	10716	1532.93
64	10735	1532.93
80	10755	1532.81
65	10775	1532.93
63	10798	1532.68
64	10823	1532.81
64	10847	1532.93
64	10867	1532.81
64	10896	1532.81
64	10922	1532.81
64	10952	1532.93
64	10979	1532.93
64	11001	1532.93
63	11034	1532.93
65	11064	1532.81
80	11101	1532.93
63	11126	1532.81
65	11162	1532.93
64	11193	1532.81
64	11230	1532.81
64	11261	1532.81
63	11302	1532.81
64	11331	1533.06
64	11369	1532.93
64	11412	1532.81
65	11453	1532.93
64	11486	1532.81
79	11533	1532.93
64	11582	1532.81
64	11636	1532.93
64	11674	1532.81
64	11729	1532.93
65	11779	1532.93
63	11815	1533.19
64	11866	1533.45
64	11923	1533.96
64	11980	1534.34
65	12039	1534.98
63	12107	1535.62
80	12175	1536.51
64	12256	1537.28
64	12346	1538.3
64	12444	1539.45
