3605244	21125	1541.34
3651556	21132	1541.47
3697864	21126	1541.47
3744168	21128	1541.47
3790484	21129	1541.47
3836804	21127	1541.47
3883116	21127	1541.47
3929416	21129	1541.47
3975724	21130	1541.34
4022044	21131	1541.59
4068352	21124	1541.34
4114652	21125	1541.34
4160956	21127	1541.47
4207268	21133	1541.34
4253588	21130	1541.47
4299916	21129	1541.47
4346240	21130	1541.47
4392556	21130	1541.34
4438864	21130	1541.47
4485176	21129	1541.47
4531480	21130	1541.47
4577788	21132	1541.34
4624120	21126	1541.47
4670432	21130	1541.47
4716744	21134	1541.34
4763048	21127	1541.47
4809364	21131	1541.47
4855676	21127	1541.47
4901996	21129	1541.47
4948296	21124	1541.47
4994608	21128	1541.47
5040924	21130	1541.47
5087232	21126	1541.47
5133532	21130	1541.34
5179832	21130	1541.47
5226152	21124	1541.47
5272476	21125	1541.47
5318804	21122	1541.47
5365128	21125	1541.47
5411448	21130	1541.34
5457764	21133	1541.47
5504072	21127	1541.47
5550372	21127	1541.47
5596684	21130	1541.47
5643012	21128	1541.47
5689320	21122	1541.47
5735624	21125	1541.47
5781924	21132	1541.59
5828240	21125	1541.47
5874548	21129	1541.47
5920864	21129	1541.47
5967172	21129	1541.47
6013484	21127	1541.47
6059800	21124	1541.47
6106116	21130	1541.47
6152420	21126	1541.47
6198720	21124	1541.47
6245032	21121	1541.47
6291360	21132	1541.47
6337684	21127	1541.47
6384004	21126	1541.47
6430324	21127	1541.47
6476628	21127	1541.47
6522940	21130	1541.47
6569248	21125	1541.34
6615560	21123	1541.47
6661892	21129	1541.34
6708204	21129	1541.59
6754508	21126	1541.34
6800808	21121	1541.47
6847120	21128	1541.47
6893428	21126	1541.47
6939748	21125	1541.47
6986052	21126	1541.34
7032360	21127	1541.47
7078680	21132	1541.34
7124996	21124	1541.34
7171296	21127	1541.47
7217600	21126	1541.47
7263912	21128	1541.47
7310244	21126	1541.47
7356560	21131	1541.47
7402884	21135	1541.47
7449208	21129	1541.59
7495520	21126	1541.47
7541836	21132	1541.59
7588140	21128	1541.47
7634448	21125	1541.47
7680772	21124	1541.47
7727084	21129	1541.34
7773384	21129	1541.47
7819684	21128	1541.47
7866008	21129	1541.47
7912320	21121	1541.47
7958640	21124	1541.47
8004948	21126	1541.47
8051252	21128	1541.47
8097572	21128	1541.47
8143892	21129	1541.47
8190196	21127	1541.34
8236500	21126	1541.59
8282828	21126	1541.47
8329156	21131	1541.34
8375472	21128	1541.47
8421776	21133	1541.47
8468096	21127	1541.47
8514408	21124	1541.34
8560716	21124	1541.47
8607016	21137	1541.47
8653332	21125	1541.34
8699652	21129	1541.47
8745960	21124	1541.47
8792264	21134	1541.47
8838564	21130	1541.47
8884888	21124	1541.47
8931200	21128	1541.47
8977516	21126	1541.47
9023828	21124	1541.59
9070136	21130	1541.47
9116456	21122	1541.59
9162772	21132	1541.34
9209080	21130	1541.47
9255380	21124	1541.47
9301708	21130	1541.47
9348036	21133	1541.34
9394352	21131	1541.47
9440660	21125	1541.47
9486976	21128	1541.47
9533288	21130	1541.47
9579596	21126	1541.34
9625896	21132	1541.47
9672208	21125	1541.47
