Loop Time (ms)	IR (16 bit)	Force (N)
64	9832	1530.51
64	9824	1530.51
66	9817	1530.38
62	9817	1530.51
64	9803	1530.51
64	9801	1530.51
64	9793	1530.51
64	9792	1530.38
64	9783	1530.51
64	9783	1530.63
63	9770	1530.51
80	9760	1530.51
66	9760	1530.51
63	9769	1530.38
63	9779	1530.51
65	9783	1530.51
64	9802	1530.63
64	9807	1530.63
64	9812	1530.63
63	9821	1530.63
65	9828	1530.51
64	9832	1530.63
64	9830	1530.51
79	9841	1530.63
65	9848	1530.51
63	9850	1530.63
64	9857	1530.76
65	9856	1530.63
63	9861	1530.63
64	9871	1530.76
64	9873	1530.63
64	9876	1530.63
64	9882	1530.63
64	9884	1530.51
64	9883	1530.63
81	9886	1530.63
94	9897	1530.63
33	9900	1530.63
63	9898	1530.76
65	9904	1530.63
67	9910	1530.76
60	9910	1530.76
65	9914	1530.63
64	9914	1530.63
63	9917	1530.63
65	9926	1530.63
63	9931	1530.63
80	9932	1530.76
64	9933	1530.76
64	9934	1530.76
65	9939	1530.76
63	9943	1530.76
65	9940	1530.63
63	9950	1530.76
64	9954	1530.89
65	9953	1530.76
64	9950	1530.76
63	9957	1530.76
64	9962	1530.63
80	9972	1530.76
64	9966	1530.76
64	9974	1530.76
63	9975	1530.76
64	9977	1530.76
65	9979	1530.89
64	9983	1530.76
63	9989	1530.76
65	9992	1530.76
64	9995	1530.76
64	9998	1530.76
64	10000	1530.63
80	10005	1530.76
63	10001	1530.89
65	10008	1530.76
64	10017	1530.63
65	10016	1530.76
62	10022	1530.76
79	10023	1530.76
50	10029	1530.76
70	10033	1530.89
57	10034	1530.76
64	10034	1530.89
65	10038	1530.63
79	10039	1530.76
65	10045	1530.89
63	10045	1530.89
64	10049	1530.89
65	10051	1530.63
63	10055	1530.89
64	10055	1530.89
64	10056	1530.89
64	10063	1530.76
64	10061	1530.89
65	10065	1530.89
63	10068	1530.76
64	10065	1530.89
79	10067	1530.89
65	10073	1530.89
63	10074	1530.89
66	10076	1530.89
63	10076	1530.76
64	10083	1530.89
64	10084	1530.76
63	10082	1530.76
64	10085	1530.76
65	10089	1530.76
63	10088	1530.89
65	10094	1530.76
79	10098	1530.76
64	10112	1530.89
64	10125	1530.89
65	10141	1530.76
64	10160	1530.89
64	10174	1530.89
63	10192	1530.89
64	10207	1530.89
65	10219	1530.89
63	10239	1530.89
64	10253	1530.89
64	10274	1530.76
80	10295	1531.02
64	10308	1530.89
64	10329	1530.76
64	10351	1531.02
64	10371	1530.89
65	10391	1530.76
63	10413	1530.89
64	10433	1530.89
64	10457	1531.02
64	10483	1530.89
64	10502	1530.89
64	10526	1530.89
80	10550	1531.02
64	10577	1530.89
63	10604	1530.89
65	10627	1530.89
63	10657	1530.89
64	10684	1530.89
64	10713	1530.89
65	10742	1530.89
63	10769	1530.89
65	10805	1531.02
63	10838	1530.76
65	10870	1530.89
79	10910	1530.89
65	10942	1530.89
64	10985	1530.89
63	11017	1530.89
64	11059	1530.89
64	11104	1531.02
64	11147	1531.02
64	11184	1531.02
64	11231	1530.89
65	11279	1531.02
63	11322	1531.02
64	11370	1531.14
80	11407	1531.27
64	11457	1531.66
64	11503	1532.04
63	11552	1532.55
65	11610	1533.19
64	11669	1533.83
63	11736	1534.6
64	11814	1535.49
65	11899	1536.39
64	11992	1537.66
63	12102	1538.94
65	12204	1540.22
80	12294	1541.63
64	12374	1543.29
63	12423	1544.95
65	12421	1546.74
63	12399	1548.53
64	12396	1550.57
64	12409	1552.75
64	12427	1555.17
64	12494	1557.86
64	12587	1560.41
64	12701	1563.1
64	12811	1565.91
80	12930	1568.72
64	13053	1571.41
64	13223	1574.22
64	13413	1576.77
64	13637	1579.33
64	14286	1581.76
64	14585	1584.06
64	14871	1586.23
64	15125	1588.15
64	15387	1589.94
63	15669	1591.73
65	15788	1593.13
80	15869	1594.28
64	15866	1593.39
64	15883	1590.96
63	15956	1588.02
64	16013	1584.83
64	15992	1581.25
64	15924	1577.41
65	15847	1573.2
63	15732	1569.49
64	15599	1565.65
64	15421	1561.82
64	15125	1558.24
81	14688	1554.92
63	14117	1551.85
64	13313	1549.17
64	12320	1546.74
64	11530	1544.69
64	10976	1542.78
64	10591	1541.24
64	10317	1539.84
64	10128	1538.56
64	9975	1536.9
64	9833	1535.49
64	9788	1534.6
80	9794	1533.96
63	9797	1533.19
65	9819	1532.55
64	9850	1532.04
63	9872	1531.4
64	9904	1530.89
64	9924	1530.51
64	9958	1530.38
64	9977	1530.12
65	9995	1529.87
63	10012	1529.74
64	10026	1529.61
81	10038	1529.74
63	10049	1529.74
64	10037	1529.87
65	10038	1529.99
63	10050	1529.99
64	10076	1529.99
64	10090	1530.12
64	10089	1530.12
64	10076	1529.99
64	10066	1530.25
64	10053	1530.25
64	10038	1530.25
80	10027	1530.12
64	10007	1530.25
64	9994	1530.25
63	9981	1530.25
65	9964	1530.38
63	9951	1530.25
65	9930	1530.38
64	9918	1530.38
63	9907	1530.51
64	9890	1530.38
65	9880	1530.38
63	9879	1530.38
81	9872	1530.51
64	9878	1530.51
64	9870	1530.38
63	9865	1530.38
64	9865	1530.51
64	9864	1530.51
64	9853	1530.51
64	9856	1530.51
65	9844	1530.51
64	9840	1530.51
63	9838	1530.51
64	9830	1530.51
80	9827	1530.51
64	9820	1530.51
64	9817	1530.51
63	9813	1530.51
64	9805	1530.63
65	9805	1530.63
64	9800	1530.63
64	9793	1530.63
63	9788	1530.63
64	9788	1530.63
64	9783	1530.63
65	9782	1530.63
79	9772	1530.63
64	9770	1530.63
64	9770	1530.63
64	9773	1530.63
64	9788	1530.63
65	9794	1530.63
64	9803	1530.63
63	9806	1530.51
65	9814	1530.63
63	9815	1530.63
65	9822	1530.76
